LECROYWP740Zi,51411,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,01-Aug-2023 17:29:02,0                 
Time,Ampl
6.6995e-07,-0.0129849
6.7e-07,-0.01282184
6.7005e-07,-0.01257336
6.701e-07,-0.01253453
6.7015e-07,-0.01279466
6.702e-07,-0.0130839
6.7025e-07,-0.01307808
6.703e-07,-0.01278107
6.7035e-07,-0.01249765
6.704e-07,-0.01247435
6.7045e-07,-0.01266654
6.705e-07,-0.01286454
6.7055e-07,-0.01293443
6.706e-07,-0.01287037
6.7065e-07,-0.0127403
6.707e-07,-0.01264907
6.7075e-07,-0.01268595
6.708e-07,-0.01282766
6.7085e-07,-0.01292084
6.709e-07,-0.01285289
6.7095e-07,-0.01269371
6.71e-07,-0.01260248
6.7105e-07,-0.01265877
6.711e-07,-0.01281407
6.7115e-07,-0.01297908
6.712e-07,-0.01308196
6.7125e-07,-0.01306837
6.713e-07,-0.01293054
6.7135e-07,-0.01277136
6.714e-07,-0.01274224
6.7145e-07,-0.01288978
6.715e-07,-0.01309749
6.7155e-07,-0.01319067
6.716e-07,-0.01307808
6.7165e-07,-0.01282572
6.717e-07,-0.01260442
6.7175e-07,-0.0125753
6.718e-07,-0.01274807
6.7185e-07,-0.01297908
6.719e-07,-0.01311496
6.7195e-07,-0.01311884
6.72e-07,-0.01303343
6.7205e-07,-0.0128956
6.721e-07,-0.01275777
6.7215e-07,-0.01271507
6.722e-07,-0.01281407
6.7225e-07,-0.01293831
6.723e-07,-0.01293443
6.7235e-07,-0.01279272
6.724e-07,-0.01266848
6.7245e-07,-0.01268401
6.725e-07,-0.01278689
6.7255e-07,-0.01284707
6.726e-07,-0.01284513
6.7265e-07,-0.01288784
6.727e-07,-0.01301402
6.7275e-07,-0.0131072
6.728e-07,-0.01304314
6.7285e-07,-0.01284901
6.729e-07,-0.01267624
6.7295e-07,-0.01263742
6.73e-07,-0.01272283
6.7305e-07,-0.01284707
6.731e-07,-0.01289366
6.7315e-07,-0.01279078
6.732e-07,-0.01259083
6.7325e-07,-0.01248406
6.733e-07,-0.01261801
6.7335e-07,-0.0128859
6.734e-07,-0.01301208
6.7345e-07,-0.0128626
6.735e-07,-0.01261995
6.7355e-07,-0.0125423
6.736e-07,-0.0126646
6.7365e-07,-0.01278883
6.737e-07,-0.0127733
6.7375e-07,-0.01267042
6.738e-07,-0.01258695
6.7385e-07,-0.01256559
6.739e-07,-0.01260636
6.7395e-07,-0.01272671
6.74e-07,-0.01288978
6.7405e-07,-0.01299266
6.741e-07,-0.01298684
6.7415e-07,-0.01292472
6.742e-07,-0.01286648
6.7425e-07,-0.01278689
6.743e-07,-0.01266265
6.7435e-07,-0.0125753
6.744e-07,-0.01262189
6.7445e-07,-0.01277525
6.745e-07,-0.01288978
6.7455e-07,-0.01287231
6.746e-07,-0.01278495
6.7465e-07,-0.0127636
6.747e-07,-0.01284707
6.7475e-07,-0.01294802
6.748e-07,-0.01297131
6.7485e-07,-0.01293249
6.749e-07,-0.01290725
6.7495e-07,-0.01290531
6.75e-07,-0.01287813
6.7505e-07,-0.01280825
6.751e-07,-0.01274224
6.7515e-07,-0.01271507
6.752e-07,-0.01272671
6.7525e-07,-0.01275001
6.753e-07,-0.01274224
6.7535e-07,-0.01269566
6.754e-07,-0.01265101
6.7545e-07,-0.01266265
6.755e-07,-0.01270536
6.7555e-07,-0.01270342
6.756e-07,-0.01266654
6.7565e-07,-0.01268983
6.757e-07,-0.01281213
6.7575e-07,-0.01293054
6.758e-07,-0.01291307
6.7585e-07,-0.01276554
6.759e-07,-0.01261801
6.7595e-07,-0.0125753
6.76e-07,-0.01261801
6.7605e-07,-0.0126743
6.761e-07,-0.01271313
6.7615e-07,-0.01274224
6.762e-07,-0.01275972
6.7625e-07,-0.01274224
6.763e-07,-0.01269177
6.7635e-07,-0.01266071
6.764e-07,-0.01270342
6.7645e-07,-0.01280825
6.765e-07,-0.01289754
6.7655e-07,-0.01292666
6.766e-07,-0.01292472
6.7665e-07,-0.01293831
6.767e-07,-0.01293831
6.7675e-07,-0.01287813
6.768e-07,-0.01277913
6.7685e-07,-0.01272671
6.769e-07,-0.01275001
6.7695e-07,-0.01278301
6.77e-07,-0.01277136
6.7705e-07,-0.01273254
6.771e-07,-0.01273448
6.7715e-07,-0.01278883
6.772e-07,-0.01286648
6.7725e-07,-0.01294413
6.773e-07,-0.01300237
6.7735e-07,-0.0129946
6.774e-07,-0.01288395
6.7745e-07,-0.01271895
6.775e-07,-0.01262965
6.7755e-07,-0.01266654
6.776e-07,-0.01274613
6.7765e-07,-0.01275583
6.777e-07,-0.01271313
6.7775e-07,-0.01271313
6.778e-07,-0.01276166
6.7785e-07,-0.01276942
6.779e-07,-0.01268595
6.7795e-07,-0.01259277
6.78e-07,-0.01258306
6.7805e-07,-0.01266265
6.781e-07,-0.01274419
6.7815e-07,-0.01275972
6.782e-07,-0.01273642
6.7825e-07,-0.01274419
6.783e-07,-0.01280048
6.7835e-07,-0.01283931
6.784e-07,-0.01279078
6.7845e-07,-0.0126743
6.785e-07,-0.01258695
6.7855e-07,-0.01259471
6.786e-07,-0.01266848
6.7865e-07,-0.01274224
6.787e-07,-0.01280048
6.7875e-07,-0.01283348
6.788e-07,-0.01281019
6.7885e-07,-0.01275195
6.789e-07,-0.01276166
6.7895e-07,-0.01288201
6.79e-07,-0.0129616
6.7905e-07,-0.01285095
6.791e-07,-0.01264324
6.7915e-07,-0.01257142
6.792e-07,-0.01266654
6.7925e-07,-0.01274807
6.793e-07,-0.01270924
6.7935e-07,-0.01266654
6.794e-07,-0.01274613
6.7945e-07,-0.01288978
6.795e-07,-0.01295966
6.7955e-07,-0.0129286
6.796e-07,-0.01286454
6.7965e-07,-0.01279854
6.797e-07,-0.01271313
6.7975e-07,-0.01263548
6.798e-07,-0.01261995
6.7985e-07,-0.01265295
6.799e-07,-0.01265101
6.7995e-07,-0.01259665
6.8e-07,-0.01259665
6.8005e-07,-0.01272089
6.801e-07,-0.01287037
6.8015e-07,-0.01289366
6.802e-07,-0.01279466
6.8025e-07,-0.01274807
6.803e-07,-0.01284513
6.8035e-07,-0.01296937
6.804e-07,-0.01295966
6.8045e-07,-0.01285095
6.805e-07,-0.01280825
6.8055e-07,-0.01287231
6.806e-07,-0.01290337
6.8065e-07,-0.01280436
6.807e-07,-0.01268983
6.8075e-07,-0.01272089
6.808e-07,-0.01286454
6.8085e-07,-0.01294025
6.809e-07,-0.01288007
6.8095e-07,-0.01281795
6.81e-07,-0.01287813
6.8105e-07,-0.01299655
6.811e-07,-0.01302178
6.8115e-07,-0.01294219
6.812e-07,-0.01287813
6.8125e-07,-0.01289754
6.813e-07,-0.01290919
6.8135e-07,-0.01281019
6.814e-07,-0.01264712
6.8145e-07,-0.01257918
6.815e-07,-0.01268595
6.8155e-07,-0.01287619
6.816e-07,-0.01300431
6.8165e-07,-0.01302761
6.817e-07,-0.01301013
6.8175e-07,-0.01302955
6.818e-07,-0.01307225
6.8185e-07,-0.01305478
6.819e-07,-0.01294802
6.8195e-07,-0.01284707
6.82e-07,-0.01287037
6.8205e-07,-0.01299849
6.821e-07,-0.01305672
6.8215e-07,-0.01292666
6.822e-07,-0.01270924
6.8225e-07,-0.01260442
6.823e-07,-0.01266265
6.8235e-07,-0.01275389
6.824e-07,-0.01278301
6.8245e-07,-0.01281019
6.825e-07,-0.01290143
6.8255e-07,-0.01301402
6.826e-07,-0.01306837
6.8265e-07,-0.01306643
6.827e-07,-0.01304314
6.8275e-07,-0.01298102
6.828e-07,-0.01287037
6.8285e-07,-0.01278107
6.829e-07,-0.01280631
6.8295e-07,-0.01290919
6.83e-07,-0.01294413
6.8305e-07,-0.01286066
6.831e-07,-0.01278495
6.8315e-07,-0.01284707
6.832e-07,-0.01299266
6.8325e-07,-0.01305284
6.833e-07,-0.01295772
6.8335e-07,-0.01281213
6.834e-07,-0.01275389
6.8345e-07,-0.01280631
6.835e-07,-0.01288978
6.8355e-07,-0.01292084
6.836e-07,-0.01289754
6.8365e-07,-0.01286454
6.837e-07,-0.01285095
6.8375e-07,-0.01283348
6.838e-07,-0.01279272
6.8385e-07,-0.01274419
6.839e-07,-0.01271119
6.8395e-07,-0.01271119
6.84e-07,-0.01278495
6.8405e-07,-0.01293249
6.841e-07,-0.01304508
6.8415e-07,-0.01298878
6.842e-07,-0.01282766
6.8425e-07,-0.01278107
6.843e-07,-0.01291307
6.8435e-07,-0.01301596
6.844e-07,-0.01292084
6.8445e-07,-0.01275972
6.845e-07,-0.01273836
6.8455e-07,-0.01281601
6.846e-07,-0.01279466
6.8465e-07,-0.01266848
6.847e-07,-0.01263354
6.8475e-07,-0.01277525
6.848e-07,-0.01293054
6.8485e-07,-0.01293249
6.849e-07,-0.01284125
6.8495e-07,-0.01282184
6.85e-07,-0.01291113
6.8505e-07,-0.01297519
6.851e-07,-0.01290143
6.8515e-07,-0.01273836
6.852e-07,-0.01265877
6.8525e-07,-0.01273448
6.853e-07,-0.01280436
6.8535e-07,-0.01264907
6.854e-07,-0.01234041
6.8545e-07,-0.01222005
6.855e-07,-0.01246659
6.8555e-07,-0.01281795
6.856e-07,-0.01292666
6.8565e-07,-0.01282378
6.857e-07,-0.01281019
6.8575e-07,-0.01297713
6.858e-07,-0.01310137
6.8585e-07,-0.01302761
6.859e-07,-0.01289754
6.8595e-07,-0.01289754
6.86e-07,-0.01297908
6.8605e-07,-0.0129849
6.861e-07,-0.01293637
6.8615e-07,-0.0129616
6.862e-07,-0.01306449
6.8625e-07,-0.01309555
6.863e-07,-0.01298296
6.8635e-07,-0.01282378
6.864e-07,-0.01272477
6.8645e-07,-0.01269177
6.865e-07,-0.01268595
6.8655e-07,-0.01272671
6.866e-07,-0.01284319
6.8665e-07,-0.01300625
6.867e-07,-0.01311108
6.8675e-07,-0.01307614
6.868e-07,-0.01291501
6.8685e-07,-0.01275972
6.869e-07,-0.01272477
6.8695e-07,-0.0127733
6.87e-07,-0.01275583
6.8705e-07,-0.01262189
6.871e-07,-0.01252677
6.8715e-07,-0.01262577
6.872e-07,-0.01286454
6.8725e-07,-0.01301208
6.873e-07,-0.01293637
6.8735e-07,-0.01275001
6.874e-07,-0.01268401
6.8745e-07,-0.01281213
6.875e-07,-0.01297325
6.8755e-07,-0.01297325
6.876e-07,-0.01280242
6.8765e-07,-0.01262383
6.877e-07,-0.01258889
6.8775e-07,-0.01271119
6.878e-07,-0.01289366
6.8785e-07,-0.01301596
6.879e-07,-0.01300431
6.8795e-07,-0.01288007
6.88e-07,-0.01276166
6.8805e-07,-0.01277136
6.881e-07,-0.01291501
6.8815e-07,-0.01304508
6.882e-07,-0.01302178
6.8825e-07,-0.01286842
6.883e-07,-0.01274613
6.8835e-07,-0.01274419
6.884e-07,-0.01280048
6.8845e-07,-0.01282184
6.885e-07,-0.01278495
6.8855e-07,-0.01271701
6.886e-07,-0.01265877
6.8865e-07,-0.01268401
6.887e-07,-0.01282378
6.8875e-07,-0.01297131
6.888e-07,-0.01295384
6.8885e-07,-0.01279078
6.889e-07,-0.01270342
6.8895e-07,-0.01281795
6.89e-07,-0.0129616
6.8905e-07,-0.01291113
6.891e-07,-0.01273642
6.8915e-07,-0.01268595
6.892e-07,-0.01281601
6.8925e-07,-0.01293637
6.893e-07,-0.01290531
6.8935e-07,-0.01280631
6.894e-07,-0.01275777
6.8945e-07,-0.01272866
6.895e-07,-0.01263548
6.8955e-07,-0.01252677
6.896e-07,-0.01252677
6.8965e-07,-0.01265295
6.897e-07,-0.01278689
6.8975e-07,-0.01281213
6.898e-07,-0.0127403
6.8985e-07,-0.01267236
6.899e-07,-0.01266265
6.8995e-07,-0.01268207
6.9e-07,-0.01268013
6.9005e-07,-0.0126646
6.901e-07,-0.01268207
6.9015e-07,-0.01275001
6.902e-07,-0.01282766
6.9025e-07,-0.01284901
6.903e-07,-0.01279466
6.9035e-07,-0.01270536
6.904e-07,-0.01264712
6.9045e-07,-0.0126646
6.905e-07,-0.01272477
6.9055e-07,-0.01273836
6.906e-07,-0.01265683
6.9065e-07,-0.01256559
6.907e-07,-0.01259083
6.9075e-07,-0.01271313
6.908e-07,-0.01276166
6.9085e-07,-0.01263354
6.909e-07,-0.01244524
6.9095e-07,-0.01241418
6.91e-07,-0.01261606
6.9105e-07,-0.01288395
6.911e-07,-0.01297908
6.9115e-07,-0.01283542
6.912e-07,-0.01263159
6.9125e-07,-0.01257724
6.913e-07,-0.01269371
6.9135e-07,-0.0128296
6.914e-07,-0.01286454
6.9145e-07,-0.01281795
6.915e-07,-0.01277719
6.9155e-07,-0.01278495
6.916e-07,-0.01281601
6.9165e-07,-0.01281795
6.917e-07,-0.01276942
6.9175e-07,-0.01270342
6.918e-07,-0.01268401
6.9185e-07,-0.01273642
6.919e-07,-0.01281601
6.9195e-07,-0.01285678
6.92e-07,-0.01285484
6.9205e-07,-0.01283931
6.921e-07,-0.01281213
6.9215e-07,-0.0127636
6.922e-07,-0.01271895
6.9225e-07,-0.01270342
6.923e-07,-0.01268401
6.9235e-07,-0.01262189
6.924e-07,-0.0125753
6.9245e-07,-0.01265101
6.925e-07,-0.01284125
6.9255e-07,-0.01297519
6.926e-07,-0.01292278
6.9265e-07,-0.01277525
6.927e-07,-0.01271895
6.9275e-07,-0.01279272
6.928e-07,-0.01285872
6.9285e-07,-0.01280242
6.929e-07,-0.01267624
6.9295e-07,-0.01261024
6.93e-07,-0.01265877
6.9305e-07,-0.01274807
6.931e-07,-0.01276748
6.9315e-07,-0.01270148
6.932e-07,-0.01265295
6.9325e-07,-0.01272283
6.933e-07,-0.01287037
6.9335e-07,-0.01297519
6.934e-07,-0.01300237
6.9345e-07,-0.01301984
6.935e-07,-0.01306643
6.9355e-07,-0.01306255
6.936e-07,-0.0129189
6.9365e-07,-0.01270148
6.937e-07,-0.01260442
6.9375e-07,-0.01273448
6.938e-07,-0.01296549
6.9385e-07,-0.01304314
6.939e-07,-0.0128626
6.9395e-07,-0.01260442
6.94e-07,-0.01253842
6.9405e-07,-0.01272671
6.941e-07,-0.01296743
6.9415e-07,-0.01304119
6.942e-07,-0.01297131
6.9425e-07,-0.01295384
6.943e-07,-0.01305478
6.9435e-07,-0.01312661
6.944e-07,-0.01303731
6.9445e-07,-0.0128626
6.945e-07,-0.01275583
6.9455e-07,-0.01275777
6.946e-07,-0.01278495
6.9465e-07,-0.01275389
6.947e-07,-0.01269371
