LECROYWP740Zi,51411,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,01-Aug-2023 15:04:15,0                 
Time,Ampl
6.6995e-07,-0.01076219
6.7e-07,-0.01080684
6.7005e-07,-0.01084372
6.701e-07,-0.01080296
6.7015e-07,-0.0107156
6.702e-07,-0.01065154
6.7025e-07,-0.01065348
6.703e-07,-0.01070201
6.7035e-07,-0.0107719
6.704e-07,-0.01084372
6.7045e-07,-0.01089419
6.705e-07,-0.01089419
6.7055e-07,-0.01084178
6.706e-07,-0.01077384
6.7065e-07,-0.01072725
6.707e-07,-0.01071948
6.7075e-07,-0.01072919
6.708e-07,-0.01072531
6.7085e-07,-0.01070395
6.709e-07,-0.01070007
6.7095e-07,-0.01072531
6.71e-07,-0.0107486
6.7105e-07,-0.01075054
6.711e-07,-0.01074666
6.7115e-07,-0.01076219
6.712e-07,-0.0107816
6.7125e-07,-0.01077578
6.713e-07,-0.0107389
6.7135e-07,-0.01069813
6.714e-07,-0.01068066
6.7145e-07,-0.01069231
6.715e-07,-0.01072142
6.7155e-07,-0.0107486
6.716e-07,-0.0107719
6.7165e-07,-0.0108146
6.717e-07,-0.01085731
6.7175e-07,-0.0108379
6.718e-07,-0.01074084
6.7185e-07,-0.01065542
6.719e-07,-0.01067678
6.7195e-07,-0.01076025
6.72e-07,-0.01079713
6.7205e-07,-0.01079325
6.721e-07,-0.01085343
6.7215e-07,-0.01098543
6.722e-07,-0.01104561
6.7225e-07,-0.01094467
6.723e-07,-0.01077966
6.7235e-07,-0.01069813
6.724e-07,-0.01071172
6.7245e-07,-0.01073695
6.725e-07,-0.01074278
6.7255e-07,-0.01074472
6.726e-07,-0.01073113
6.7265e-07,-0.01068454
6.727e-07,-0.0106496
6.7275e-07,-0.01068454
6.728e-07,-0.0107486
6.7285e-07,-0.01076607
6.729e-07,-0.01077384
6.7295e-07,-0.01085925
6.73e-07,-0.01097378
6.7305e-07,-0.01094272
6.731e-07,-0.01073501
6.7315e-07,-0.01055642
6.732e-07,-0.01061077
6.7325e-07,-0.01082431
6.733e-07,-0.01094661
6.7335e-07,-0.01083207
6.734e-07,-0.01059719
6.7345e-07,-0.01045742
6.735e-07,-0.01051177
6.7355e-07,-0.01068454
6.736e-07,-0.0108146
6.7365e-07,-0.01081654
6.737e-07,-0.01073695
6.7375e-07,-0.01068842
6.738e-07,-0.01071754
6.7385e-07,-0.01075442
6.739e-07,-0.01073501
6.7395e-07,-0.01066513
6.74e-07,-0.01059524
6.7405e-07,-0.01054865
6.741e-07,-0.01052536
6.7415e-07,-0.01053118
6.742e-07,-0.01056224
6.7425e-07,-0.01059719
6.743e-07,-0.01062824
6.7435e-07,-0.01067483
6.744e-07,-0.01071754
6.7445e-07,-0.01071172
6.745e-07,-0.01068648
6.7455e-07,-0.01073113
6.746e-07,-0.01085925
6.7465e-07,-0.01094078
6.747e-07,-0.01086702
6.7475e-07,-0.01069425
6.748e-07,-0.01057777
6.7485e-07,-0.01057389
6.749e-07,-0.01060883
6.7495e-07,-0.01060107
6.75e-07,-0.01057195
6.7505e-07,-0.01057777
6.751e-07,-0.01062824
6.7515e-07,-0.01068066
6.752e-07,-0.01070007
6.7525e-07,-0.01068842
6.753e-07,-0.0106496
6.7535e-07,-0.01060301
6.754e-07,-0.01059136
6.7545e-07,-0.0106263
6.755e-07,-0.0106593
6.7555e-07,-0.0106263
6.756e-07,-0.01053507
6.7565e-07,-0.01048459
6.757e-07,-0.01054283
6.7575e-07,-0.0106496
6.758e-07,-0.01068842
6.7585e-07,-0.01062048
6.759e-07,-0.01052342
6.7595e-07,-0.01048653
6.76e-07,-0.01049818
6.7605e-07,-0.0104943
6.761e-07,-0.01046712
6.7615e-07,-0.01048653
6.762e-07,-0.0105933
6.7625e-07,-0.01072142
6.763e-07,-0.01074472
6.7635e-07,-0.01063601
6.764e-07,-0.01050983
6.7645e-07,-0.01050206
6.765e-07,-0.01060301
6.7655e-07,-0.01068842
6.766e-07,-0.01066125
6.7665e-07,-0.01057389
6.767e-07,-0.01055836
6.7675e-07,-0.0106593
6.768e-07,-0.01077966
6.7685e-07,-0.01080101
6.769e-07,-0.01072725
6.7695e-07,-0.0106496
6.77e-07,-0.01061466
6.7705e-07,-0.01058748
6.771e-07,-0.01056224
6.7715e-07,-0.01060107
6.772e-07,-0.01072337
6.7725e-07,-0.01082625
6.773e-07,-0.01080296
6.7735e-07,-0.01070007
6.774e-07,-0.01065736
6.7745e-07,-0.01072531
6.775e-07,-0.01081266
6.7755e-07,-0.01082819
