LECROYWP740Zi,51411,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,04-Aug-2023 13:19:13,0                 
Time,Ampl
2.38195e-06,-0.01091667
2.382e-06,-0.01085049
2.38205e-06,-0.01089461
2.3821e-06,-0.01101318
2.38215e-06,-0.01101869
2.3822e-06,-0.01082843
2.38225e-06,-0.01067402
2.3823e-06,-0.01080361
2.38235e-06,-0.01109315
2.3824e-06,-0.01115105
2.38245e-06,-0.01084222
2.3825e-06,-0.01048375
2.38255e-06,-0.01042585
2.3826e-06,-0.01064093
2.38265e-06,-0.01082016
2.3827e-06,-0.0107788
2.38275e-06,-0.01061611
2.3828e-06,-0.01054166
2.38285e-06,-0.01063817
2.3829e-06,-0.01080637
2.38295e-06,-0.01088082
2.383e-06,-0.01076777
2.38305e-06,-0.01054166
2.3831e-06,-0.01040379
2.38315e-06,-0.01051684
2.3832e-06,-0.01080637
2.38325e-06,-0.01100215
2.3833e-06,-0.01095803
2.38335e-06,-0.01082843
2.3834e-06,-0.0108367
2.38345e-06,-0.0109663
2.3835e-06,-0.01098561
2.38355e-06,-0.01081464
2.3836e-06,-0.01063541
2.38365e-06,-0.01063265
2.3837e-06,-0.01072641
2.38375e-06,-0.01072641
2.3838e-06,-0.01065471
2.38385e-06,-0.01070159
2.3839e-06,-0.01090012
2.38395e-06,-0.011038
2.384e-06,-0.01096355
2.38405e-06,-0.01079259
2.3841e-06,-0.01076777
2.38415e-06,-0.01092494
2.3842e-06,-0.01107936
2.38425e-06,-0.01105454
2.3843e-06,-0.01086979
2.38435e-06,-0.0107071
2.3844e-06,-0.01069332
2.38445e-06,-0.01078431
2.3845e-06,-0.01083119
2.38455e-06,-0.01075122
2.3846e-06,-0.01060232
2.38465e-06,-0.0105196
2.3847e-06,-0.01059681
2.38475e-06,-0.0107981
2.3848e-06,-0.01097733
2.38485e-06,-0.01102145
2.3849e-06,-0.01094424
2.38495e-06,-0.01087255
2.385e-06,-0.01088082
2.38505e-06,-0.01091391
2.3851e-06,-0.01088358
2.38515e-06,-0.01077053
2.3852e-06,-0.0106299
2.38525e-06,-0.01055545
2.3853e-06,-0.01060232
2.38535e-06,-0.01075122
2.3854e-06,-0.01088082
2.38545e-06,-0.01086979
2.3855e-06,-0.01072089
2.38555e-06,-0.01059405
2.3856e-06,-0.01063817
2.38565e-06,-0.01081189
2.3857e-06,-0.01092494
2.38575e-06,-0.01085325
2.3858e-06,-0.01068229
2.38585e-06,-0.01061887
2.3859e-06,-0.01074847
2.38595e-06,-0.01091115
2.386e-06,-0.01088358
2.38605e-06,-0.01067677
2.3861e-06,-0.01054166
2.38615e-06,-0.01065747
2.3862e-06,-0.01090012
2.38625e-06,-0.01101318
2.3863e-06,-0.0109084
2.38635e-06,-0.01074295
2.3864e-06,-0.01072365
2.38645e-06,-0.01087255
2.3865e-06,-0.01102697
2.38655e-06,-0.01100766
2.3866e-06,-0.01083119
2.38665e-06,-0.01067677
2.3867e-06,-0.01069608
2.38675e-06,-0.01084498
2.3868e-06,-0.01091667
2.38685e-06,-0.01076225
2.3869e-06,-0.01045342
2.38695e-06,-0.0102411
2.387e-06,-0.010299
2.38705e-06,-0.01056096
2.3871e-06,-0.01078983
2.38715e-06,-0.01083395
2.3872e-06,-0.01075122
2.38725e-06,-0.01070159
2.3873e-06,-0.01074571
2.38735e-06,-0.01082292
2.3874e-06,-0.01081464
2.38745e-06,-0.01067126
2.3875e-06,-0.01045618
2.38755e-06,-0.01033485
2.3876e-06,-0.0104286
2.38765e-06,-0.01064093
2.3877e-06,-0.01075674
2.38775e-06,-0.01069332
2.3878e-06,-0.01060232
2.38785e-06,-0.01064644
2.3879e-06,-0.0107595
2.38795e-06,-0.01074571
2.388e-06,-0.01057475
2.38805e-06,-0.01044239
2.3881e-06,-0.01050581
2.38815e-06,-0.01067953
2.3882e-06,-0.01072916
2.38825e-06,-0.01057475
2.3883e-06,-0.01036243
