LECROYWP740Zi,51411,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,17-Aug-2023 15:23:58,0                 
Time,Ampl
2.38195e-06,-0.01133305
2.382e-06,-0.01126962
2.38205e-06,-0.0113358
2.3821e-06,-0.01140198
2.38215e-06,-0.01140198
2.3822e-06,-0.01138544
2.38225e-06,-0.01137716
2.3823e-06,-0.0113358
2.38235e-06,-0.01126135
2.3824e-06,-0.01122275
2.38245e-06,-0.01126687
2.3825e-06,-0.01136613
2.38255e-06,-0.01145713
2.3826e-06,-0.01152055
2.38265e-06,-0.01156467
2.3827e-06,-0.01157846
2.38275e-06,-0.01154813
2.3828e-06,-0.01147643
2.38285e-06,-0.01141577
2.3829e-06,-0.01141025
2.38295e-06,-0.01143783
2.383e-06,-0.01141853
2.38305e-06,-0.01131926
2.3831e-06,-0.01124205
2.38315e-06,-0.01130547
2.3832e-06,-0.0114847
2.38325e-06,-0.01161982
2.3833e-06,-0.01158949
2.38335e-06,-0.0114654
2.3834e-06,-0.01141577
2.38345e-06,-0.01150676
2.3835e-06,-0.01162809
2.38355e-06,-0.01162258
2.3836e-06,-0.01145989
2.38365e-06,-0.01128065
2.3837e-06,-0.01126135
2.38375e-06,-0.01141025
2.3838e-06,-0.01157846
2.38385e-06,-0.01161706
2.3839e-06,-0.01152055
2.38395e-06,-0.01140474
2.384e-06,-0.01137441
2.38405e-06,-0.0114268
2.3841e-06,-0.01148195
2.38415e-06,-0.0114847
2.3842e-06,-0.01142128
2.38425e-06,-0.0113358
2.3843e-06,-0.01128065
2.38435e-06,-0.01125584
2.3844e-06,-0.01124205
2.38445e-06,-0.01124481
2.3845e-06,-0.01131099
2.38455e-06,-0.01141301
2.3846e-06,-0.01144886
2.38465e-06,-0.01136338
2.3847e-06,-0.01124481
2.38475e-06,-0.01119793
2.3848e-06,-0.01123654
2.38485e-06,-0.01131926
2.3849e-06,-0.01142128
2.38495e-06,-0.01152055
2.385e-06,-0.01156743
2.38505e-06,-0.01153985
2.3851e-06,-0.01148195
2.38515e-06,-0.01142404
2.3852e-06,-0.01134132
2.38525e-06,-0.01122275
2.3853e-06,-0.01112624
2.38535e-06,-0.01110418
2.3854e-06,-0.01114554
2.38545e-06,-0.01119517
2.3855e-06,-0.01124205
2.38555e-06,-0.01133856
2.3856e-06,-0.01148195
2.38565e-06,-0.011595
2.3857e-06,-0.01160879
2.38575e-06,-0.01154813
2.3858e-06,-0.01149573
2.38585e-06,-0.01147919
2.3859e-06,-0.01148195
2.38595e-06,-0.01148195
2.386e-06,-0.01147092
2.38605e-06,-0.0114654
2.3861e-06,-0.01149298
2.38615e-06,-0.01153158
2.3862e-06,-0.01151504
2.38625e-06,-0.01141577
2.3863e-06,-0.01133856
2.38635e-06,-0.01135235
2.3864e-06,-0.01139371
2.38645e-06,-0.01136338
2.3865e-06,-0.01131926
2.38655e-06,-0.01137165
2.3866e-06,-0.0114654
2.38665e-06,-0.01145437
2.3867e-06,-0.01132202
2.38675e-06,-0.01122826
2.3868e-06,-0.01126411
2.38685e-06,-0.01133856
2.3869e-06,-0.01134683
2.38695e-06,-0.01129996
2.387e-06,-0.01128341
2.38705e-06,-0.01133305
2.3871e-06,-0.01141301
2.38715e-06,-0.01146264
2.3872e-06,-0.01145989
2.38725e-06,-0.01142956
2.3873e-06,-0.01142128
2.38735e-06,-0.01143783
2.3874e-06,-0.01144334
2.38745e-06,-0.01140474
2.3875e-06,-0.01135235
2.38755e-06,-0.01132202
2.3876e-06,-0.01130271
2.38765e-06,-0.0112972
2.3877e-06,-0.01133305
2.38775e-06,-0.01141853
2.3878e-06,-0.01149022
2.38785e-06,-0.01149022
2.3879e-06,-0.01146264
2.38795e-06,-0.01147367
2.388e-06,-0.01152055
2.38805e-06,-0.01154261
2.3881e-06,-0.01152331
2.38815e-06,-0.01149573
2.3882e-06,-0.01146264
2.38825e-06,-0.01139647
2.3883e-06,-0.0113165
2.38835e-06,-0.01125308
2.3884e-06,-0.0112062
2.38845e-06,-0.01116484
2.3885e-06,-0.01117587
2.38855e-06,-0.01128341
2.3886e-06,-0.01141853
2.38865e-06,-0.01145989
2.3887e-06,-0.01139922
2.38875e-06,-0.01138544
2.3888e-06,-0.01150952
2.38885e-06,-0.01165567
