LECROYWP740Zi,51411,Waveform
Segments,1,SegmentSize,40002
Segment,TrigTime,TimeSinceSegment1
#1,08-Sep-2023 18:25:11,0                 
Time,Ampl
1.71195e-06,-0.01320232
1.712e-06,-0.01311884
1.71205e-06,-0.01293249
1.7121e-06,-0.01278883
1.71215e-06,-0.01280242
1.7122e-06,-0.0129616
1.71225e-06,-0.01312467
1.7123e-06,-0.01316737
1.71235e-06,-0.01308778
1.7124e-06,-0.01299072
1.71245e-06,-0.01296549
1.7125e-06,-0.0130179
1.71255e-06,-0.01313243
1.7126e-06,-0.01326249
1.71265e-06,-0.01331879
1.7127e-06,-0.01324308
1.71275e-06,-0.01310914
1.7128e-06,-0.01303925
1.71285e-06,-0.01304702
1.7129e-06,-0.01307031
1.71295e-06,-0.0131072
1.713e-06,-0.01320232
1.71305e-06,-0.01329161
1.7131e-06,-0.01324308
1.71315e-06,-0.01306837
1.7132e-06,-0.01294413
1.71325e-06,-0.01299072
1.7133e-06,-0.01309943
1.71335e-06,-0.01312467
1.7134e-06,-0.01307031
1.71345e-06,-0.01304508
1.7135e-06,-0.0130742
1.71355e-06,-0.01310137
1.7136e-06,-0.01311302
1.71365e-06,-0.01316155
1.7137e-06,-0.01324502
1.71375e-06,-0.01330714
1.7138e-06,-0.01332461
1.71385e-06,-0.01335567
1.7139e-06,-0.01340615
1.71395e-06,-0.01338673
1.714e-06,-0.01325279
1.71405e-06,-0.01310914
1.7141e-06,-0.01307031
1.71415e-06,-0.01308778
1.7142e-06,-0.01303149
1.71425e-06,-0.01289172
1.7143e-06,-0.01279854
1.71435e-06,-0.01283736
1.7144e-06,-0.01294025
1.71445e-06,-0.01300819
1.7145e-06,-0.01303149
1.71455e-06,-0.01304508
1.7146e-06,-0.01305672
1.71465e-06,-0.01309555
1.7147e-06,-0.01321202
1.71475e-06,-0.01335956
1.7148e-06,-0.01334403
1.71485e-06,-0.01309361
1.7149e-06,-0.01284901
1.71495e-06,-0.01290725
1.715e-06,-0.01318679
1.71505e-06,-0.01328579
1.7151e-06,-0.01303537
1.71515e-06,-0.01274613
1.7152e-06,-0.01280242
1.71525e-06,-0.01316349
1.7153e-06,-0.0134275
1.71535e-06,-0.01333238
1.7154e-06,-0.01301596
1.71545e-06,-0.01279078
1.7155e-06,-0.01276942
1.71555e-06,-0.01282766
1.7156e-06,-0.01287619
1.71565e-06,-0.01297131
1.7157e-06,-0.01314214
1.71575e-06,-0.01325473
1.7158e-06,-0.01316543
1.71585e-06,-0.01296549
1.7159e-06,-0.01289948
