LECROYWP740Zi,51411,Waveform
Segments,1,SegmentSize,40002
Segment,TrigTime,TimeSinceSegment1
#1,08-Sep-2023 16:12:15,0                 
Time,Ampl
1.8839627e-06,-0.0099937
1.8840127e-06,-0.0106595
1.8840627e-06,-0.0118248
1.8841127e-06,-0.0121507
1.8841627e-06,-0.0119219
1.8842127e-06,-0.0119149
1.8842627e-06,-0.0119635
1.8843127e-06,-0.0116652
1.8843627e-06,-0.0117762
1.8844127e-06,-0.0131426
1.8844627e-06,-0.0150568
1.8845127e-06,-0.0157296
1.8845627e-06,-0.0144465
1.8846127e-06,-0.0123103
1.8846627e-06,-0.0110618
1.8847127e-06,-0.011582
1.8847627e-06,-0.0130316
1.8848127e-06,-0.0133298
1.8848627e-06,-0.0114017
1.8849127e-06,-0.00888397
1.8849627e-06,-0.00841233
1.8850127e-06,-0.0101116
1.8850627e-06,-0.0114294
1.8851127e-06,-0.0108815
1.8851627e-06,-0.00995208
1.8852127e-06,-0.0103266
1.8852627e-06,-0.0112421
1.8853127e-06,-0.0111173
1.8853627e-06,-0.0103613
1.8854127e-06,-0.0105069
1.8854627e-06,-0.011478
1.8855127e-06,-0.0116652
1.8855627e-06,-0.0105763
1.8856127e-06,-0.00970239
1.8856627e-06,-0.0102919
1.8857127e-06,-0.011471
1.8857627e-06,-0.0115126
1.8858127e-06,-0.0101602
1.8858627e-06,-0.00895332
1.8859127e-06,-0.00930705
1.8859627e-06,-0.0107844
1.8860127e-06,-0.0117415
1.8860627e-06,-0.0114988
1.8861127e-06,-0.0111381
1.8861627e-06,-0.0118872
1.8862127e-06,-0.0129969
1.8862627e-06,-0.0125877
1.8863127e-06,-0.0104861
1.8863627e-06,-0.00889784
1.8864127e-06,-0.00961223
1.8864627e-06,-0.0116652
1.8865127e-06,-0.0126917
1.8865627e-06,-0.0118039
1.8866127e-06,-0.0103127
1.8866627e-06,-0.00984111
1.8867127e-06,-0.0105624
1.8867627e-06,-0.0113601
1.8868127e-06,-0.011263
1.8868627e-06,-0.0104584
1.8869127e-06,-0.00983417
1.8869627e-06,-0.01007
1.8870127e-06,-0.0111867
1.8870627e-06,-0.0126709
1.8871127e-06,-0.0138084
1.8871627e-06,-0.0140165
1.8872127e-06,-0.0131217
1.8872627e-06,-0.0115196
1.8873127e-06,-0.0100006
1.8873627e-06,-0.00920995
1.8874127e-06,-0.00934867
1.8874627e-06,-0.0103266
1.8875127e-06,-0.0116444
1.8875627e-06,-0.0123727
1.8876127e-06,-0.0120814
1.8876627e-06,-0.0116722
1.8877127e-06,-0.0121091
1.8877627e-06,-0.0128651
1.8878127e-06,-0.0126224
1.8878627e-06,-0.0114086
1.8879127e-06,-0.0104653
1.8879627e-06,-0.0103266
1.8880127e-06,-0.0104098
1.8880627e-06,-0.0104098
1.8881127e-06,-0.0107566
1.8881627e-06,-0.0113601
1.8882127e-06,-0.0112421
1.8882627e-06,-0.0100492
1.8883127e-06,-0.00905736
1.8883627e-06,-0.00963303
1.8884127e-06,-0.0111728
1.8884627e-06,-0.0116097
1.8885127e-06,-0.0101532
1.8885627e-06,-0.0084054
1.8886127e-06,-0.00827362
1.8886627e-06,-0.00952206
1.8887127e-06,-0.0103266
1.8887627e-06,-0.00985498
1.8888127e-06,-0.009529
1.8888627e-06,-0.0110202
1.8889127e-06,-0.0135864
1.8889627e-06,-0.0145158
1.8890127e-06,-0.0124837
1.8890627e-06,-0.009529
1.8891127e-06,-0.00868283
1.8891627e-06,-0.0104376
1.8892127e-06,-0.0124351
1.8892627e-06,-0.0125253
1.8893127e-06,-0.0110965
1.8893627e-06,-0.010396
1.8894127e-06,-0.0117485
1.8894627e-06,-0.0140026
1.8895127e-06,-0.014932
1.8895627e-06,-0.0138986
1.8896127e-06,-0.012227
1.8896627e-06,-0.0109578
1.8897127e-06,-0.00992434
1.8897627e-06,-0.00932786
1.8898127e-06,-0.0103336
1.8898627e-06,-0.0129692
1.8899127e-06,-0.0150707
1.8899627e-06,-0.0146268
1.8900127e-06,-0.0124212
1.8900627e-06,-0.0107844
1.8901127e-06,-0.0105347
1.8901627e-06,-0.0104376
1.8902127e-06,-0.00969546
1.8902627e-06,-0.0094527
1.8903127e-06,-0.0109023
1.8903627e-06,-0.0130177
1.8904127e-06,-0.0134893
1.8904627e-06,-0.0117623
1.8905127e-06,-0.00987579
1.8905627e-06,-0.00995208
1.8906127e-06,-0.011686
1.8906627e-06,-0.0130663
1.8907127e-06,-0.0129484
1.8907627e-06,-0.0121923
1.8908127e-06,-0.0120606
1.8908627e-06,-0.0126362
1.8909127e-06,-0.0131703
1.8909627e-06,-0.0132951
1.8910127e-06,-0.0132188
1.8910627e-06,-0.0130385
1.8911127e-06,-0.0124143
1.8911627e-06,-0.0110479
1.8912127e-06,-0.00941109
1.8912627e-06,-0.00862041
1.8913127e-06,-0.00945964
1.8913627e-06,-0.0115126
1.8914127e-06,-0.0131634
