LECROYWP740Zi,51411,Waveform
Segments,1,SegmentSize,40002
Segment,TrigTime,TimeSinceSegment1
#1,08-Sep-2023 18:03:17,0                 
Time,Ampl
1.7119714e-06,-0.0123137
1.7120214e-06,-0.00887354
1.7120714e-06,-0.0083048
1.7121214e-06,-0.0104549
1.7121714e-06,-0.013465
1.7122214e-06,-0.0154209
1.7122714e-06,-0.0161839
1.7123214e-06,-0.017141
1.7123714e-06,-0.0185559
1.7124214e-06,-0.0188334
1.7124714e-06,-0.0173491
1.7125214e-06,-0.0162255
1.7125714e-06,-0.0173768
1.7126214e-06,-0.0192356
1.7126714e-06,-0.0185004
1.7127214e-06,-0.0148661
1.7127714e-06,-0.0115369
1.7128214e-06,-0.0111069
1.7128714e-06,-0.0124385
1.7129214e-06,-0.0128408
1.7129714e-06,-0.0125634
1.7130214e-06,-0.0142141
1.7130714e-06,-0.0182646
1.7131214e-06,-0.0209002
1.7131714e-06,-0.0187085
1.7132214e-06,-0.0134234
1.7132714e-06,-0.0106214
1.7133214e-06,-0.0129102
1.7133714e-06,-0.0167526
1.7134214e-06,-0.016933
1.7134714e-06,-0.0130489
1.7135214e-06,-0.00987229
1.7135714e-06,-0.0111069
1.7136214e-06,-0.0151158
1.7136714e-06,-0.0175294
1.7137214e-06,-0.0165723
1.7137714e-06,-0.0142141
1.7138214e-06,-0.0132292
1.7138714e-06,-0.014228
1.7139214e-06,-0.0155735
1.7139714e-06,-0.0150464
1.7140214e-06,-0.0120363
1.7140714e-06,-0.00887354
1.7141214e-06,-0.00877643
1.7141714e-06,-0.0119114
1.7142214e-06,-0.0150325
1.7142714e-06,-0.0160452
1.7143214e-06,-0.0166278
1.7143714e-06,-0.0191247
1.7144214e-06,-0.0222458
1.7144714e-06,-0.022329
1.7145214e-06,-0.0185975
1.7145714e-06,-0.0144361
1.7146214e-06,-0.0131876
1.7146714e-06,-0.0141586
1.7147214e-06,-0.0141864
1.7147714e-06,-0.0120501
1.7148214e-06,-0.00963647
1.7148714e-06,-0.00937291
1.7149214e-06,-0.011745
1.7149714e-06,-0.0152406
1.7150214e-06,-0.0177236
1.7150714e-06,-0.0177236
1.7151214e-06,-0.0157261
1.7151714e-06,-0.0137563
1.7152214e-06,-0.0136038
1.7152714e-06,-0.0147274
1.7153214e-06,-0.0147412
1.7153714e-06,-0.0124524
1.7154214e-06,-0.00981681
1.7154714e-06,-0.00967809
1.7155214e-06,-0.0118282
1.7155714e-06,-0.0132431
1.7156214e-06,-0.0126466
1.7156714e-06,-0.0126327
1.7157214e-06,-0.01531
1.7157714e-06,-0.0183479
1.7158214e-06,-0.0179595
1.7158714e-06,-0.0148383
1.7159214e-06,-0.0138257
1.7159714e-06,-0.017363
1.7160214e-06,-0.0221487
1.7160714e-06,-0.0229671
1.7161214e-06,-0.018764
1.7161714e-06,-0.0133679
1.7162214e-06,-0.0108294
1.7162714e-06,-0.0112178
1.7163214e-06,-0.011634
1.7163714e-06,-0.0106491
1.7164214e-06,-0.00995552
1.7164714e-06,-0.0108849
1.7165214e-06,-0.0119947
1.7165714e-06,-0.0117311
1.7166214e-06,-0.011204
1.7166714e-06,-0.0118559
1.7167214e-06,-0.0126466
1.7167714e-06,-0.0118421
1.7168214e-06,-0.0102746
1.7168714e-06,-0.0100942
1.7169214e-06,-0.0114259
1.7169714e-06,-0.0126189
1.7170214e-06,-0.0133957
1.7170714e-06,-0.0148799
1.7171214e-06,-0.0165584
1.7171714e-06,-0.0156984
1.7172214e-06,-0.0115091
1.7172714e-06,-0.00777768
1.7173214e-06,-0.00915097
1.7173714e-06,-0.0147828
1.7174214e-06,-0.0186808
1.7174714e-06,-0.0172104
1.7175214e-06,-0.0139228
1.7175714e-06,-0.0144499
1.7176214e-06,-0.0185559
1.7176714e-06,-0.0207199
1.7177214e-06,-0.0180011
1.7177714e-06,-0.0133263
1.7178214e-06,-0.0104826
1.7178714e-06,-0.00940066
1.7179214e-06,-0.00858223
1.7179714e-06,-0.00884579
1.7180214e-06,-0.0110653
1.7180714e-06,-0.0131737
1.7181214e-06,-0.013035
1.7181714e-06,-0.0123692
1.7182214e-06,-0.0140199
1.7182714e-06,-0.016933
1.7183214e-06,-0.0177514
1.7183714e-06,-0.0163781
1.7184214e-06,-0.0160868
1.7184714e-06,-0.0177236
1.7185214e-06,-0.0180288
1.7185714e-06,-0.0144222
1.7186214e-06,-0.0096226
1.7186714e-06,-0.00903999
1.7187214e-06,-0.0141031
1.7187714e-06,-0.0197905
1.7188214e-06,-0.0202483
1.7188714e-06,-0.0154487
1.7189214e-06,-0.0107878
1.7189714e-06,-0.0103578
1.7190214e-06,-0.0127715
1.7190714e-06,-0.014117
1.7191214e-06,-0.0131321
1.7191714e-06,-0.0119808
1.7192214e-06,-0.0126189
1.7192714e-06,-0.0144361
1.7193214e-06,-0.0154903
1.7193714e-06,-0.0150048
1.7194214e-06,-0.0138951
1.7194714e-06,-0.0133957
1.7195214e-06,-0.0139506
1.7195714e-06,-0.0151713
1.7196214e-06,-0.0162255
1.7196714e-06,-0.0162671
1.7197214e-06,-0.0151851
1.7197714e-06,-0.0136315
1.7198214e-06,-0.0126327
1.7198714e-06,-0.0129102
1.7199214e-06,-0.0141586
1.7199714e-06,-0.0150464
1.7200214e-06,-0.0143944
1.7200714e-06,-0.0127715
1.7201214e-06,-0.0119947
1.7201714e-06,-0.0131044
1.7202214e-06,-0.0151435
1.7202714e-06,-0.0163503
1.7203214e-06,-0.0158787
1.7203714e-06,-0.0141448
1.7204214e-06,-0.0124663
1.7204714e-06,-0.0124524
1.7205214e-06,-0.0148106
1.7205714e-06,-0.0180843
1.7206214e-06,-0.0196795
1.7206714e-06,-0.0186392
1.7207214e-06,-0.0164058
1.7207714e-06,-0.0149493
1.7208214e-06,-0.0151296
1.7208714e-06,-0.0166
1.7209214e-06,-0.0182646
1.7209714e-06,-0.018653
1.7210214e-06,-0.0173352
1.7210714e-06,-0.0155319
1.7211214e-06,-0.0144083
1.7211714e-06,-0.0136315
1.7212214e-06,-0.0128686
1.7212714e-06,-0.0134234
1.7213214e-06,-0.0162116
1.7213714e-06,-0.0191108
1.7214214e-06,-0.0190969
1.7214714e-06,-0.0168081
1.7215214e-06,-0.0159481
1.7215714e-06,-0.0179317
1.7216214e-06,-0.0195686
1.7216714e-06,-0.0178069
1.7217214e-06,-0.0146303
1.7217714e-06,-0.014117
1.7218214e-06,-0.0164058
1.7218714e-06,-0.0176681
1.7219214e-06,-0.0160313
1.7219714e-06,-0.0139367
1.7220214e-06,-0.0141309
1.7220714e-06,-0.0160036
1.7221214e-06,-0.0171272
1.7221714e-06,-0.0165445
1.7222214e-06,-0.0150464
1.7222714e-06,-0.0137563
1.7223214e-06,-0.0132154
1.7223714e-06,-0.0138118
1.7224214e-06,-0.0153377
1.7224714e-06,-0.0164058
1.7225214e-06,-0.0151851
1.7225714e-06,-0.0118282
1.7226214e-06,-0.00895676
1.7226714e-06,-0.00908161
1.7227214e-06,-0.0116756
1.7227714e-06,-0.0140615
1.7228214e-06,-0.014547
1.7228714e-06,-0.0137563
1.7229214e-06,-0.0126327
1.7229714e-06,-0.0108433
1.7230214e-06,-0.00805511
1.7230714e-06,-0.00594662
1.7231214e-06,-0.00736153
1.7231714e-06,-0.0125911
1.7232214e-06,-0.0175849
1.7232714e-06,-0.0176959
1.7233214e-06,-0.0128408
1.7233714e-06,-0.00819383
1.7234214e-06,-0.00866546
1.7234714e-06,-0.013465
1.7235214e-06,-0.0173214
1.7235714e-06,-0.0165584
1.7236214e-06,-0.0128131
1.7236714e-06,-0.0106491
1.7237214e-06,-0.0124524
1.7237714e-06,-0.016281
1.7238214e-06,-0.0178623
1.7238714e-06,-0.0151296
1.7239214e-06,-0.0103855
1.7239714e-06,-0.00791639
1.7240214e-06,-0.00924807
1.7240714e-06,-0.0117588
1.7241214e-06,-0.012605
1.7241714e-06,-0.0120501
1.7242214e-06,-0.0120779
1.7242714e-06,-0.0133541
1.7243214e-06,-0.0148661
1.7243714e-06,-0.015518
1.7244214e-06,-0.0152545
1.7244714e-06,-0.0148799
1.7245214e-06,-0.0153655
1.7245714e-06,-0.0166971
1.7246214e-06,-0.0172243
1.7246714e-06,-0.0155874
1.7247214e-06,-0.0127298
1.7247714e-06,-0.0111346
1.7248214e-06,-0.012175
1.7248714e-06,-0.0146025
1.7249214e-06,-0.0160868
1.7249714e-06,-0.0150325
1.7250214e-06,-0.0119253
1.7250714e-06,-0.00927581
1.7251214e-06,-0.00941453
1.7251714e-06,-0.0112872
1.7252214e-06,-0.0114953
1.7252714e-06,-0.00887354
1.7253214e-06,-0.00665407
