LECROYWP740Zi,51411,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,29-Sep-2023 13:58:09,0                 
Time,Ampl
2.51195e-06,-0.012114
2.512e-06,-0.0105963
2.51205e-06,-0.00883025
2.5121e-06,-0.00825076
2.51215e-06,-0.00940973
2.5122e-06,-0.0115621
2.51225e-06,-0.0129418
2.5123e-06,-0.0120036
2.51235e-06,-0.00929935
2.5124e-06,-0.00761609
2.51245e-06,-0.00913378
2.5125e-06,-0.0126659
2.51255e-06,-0.0148458
2.5126e-06,-0.0138524
2.51265e-06,-0.0115897
2.5127e-06,-0.011093
2.51275e-06,-0.0128314
2.5128e-06,-0.0143215
2.51285e-06,-0.0134937
2.5129e-06,-0.0111482
2.51295e-06,-0.00987883
2.513e-06,-0.0110654
2.51305e-06,-0.0137697
2.5131e-06,-0.0155909
2.51315e-06,-0.0149838
2.5132e-06,-0.0126107
2.51325e-06,-0.0109826
2.5133e-06,-0.0118104
2.51335e-06,-0.0141836
2.5134e-06,-0.0156185
2.51345e-06,-0.0150114
2.5135e-06,-0.0133005
2.51355e-06,-0.0118104
2.5136e-06,-0.0110102
2.51365e-06,-0.0110654
2.5137e-06,-0.0122244
2.51375e-06,-0.0140732
2.5138e-06,-0.0155081
2.51385e-06,-0.0155633
2.5139e-06,-0.0142112
2.51395e-06,-0.0125279
2.514e-06,-0.0116725
2.51405e-06,-0.0119484
2.5141e-06,-0.0121968
2.51415e-06,-0.0112034
2.5142e-06,-0.00949251
2.51425e-06,-0.00871987
2.5143e-06,-0.0095753
2.51435e-06,-0.0107067
2.5144e-06,-0.0106791
2.51445e-06,-0.00990643
2.5145e-06,-0.00976846
2.51455e-06,-0.0107619
2.5146e-06,-0.0120864
2.51465e-06,-0.0126935
2.5147e-06,-0.0126383
2.51475e-06,-0.0126935
2.5148e-06,-0.0131074
2.51485e-06,-0.0128038
2.5149e-06,-0.0106791
2.51495e-06,-0.00758849
2.515e-06,-0.00601561
2.51505e-06,-0.00761609
2.5151e-06,-0.0118104
2.51515e-06,-0.016198
2.5152e-06,-0.0180744
2.51525e-06,-0.0160324
2.5153e-06,-0.0114241
2.51535e-06,-0.00811279
2.5154e-06,-0.00896822
2.51545e-06,-0.0126383
2.5155e-06,-0.0148458
2.51555e-06,-0.0134937
2.5156e-06,-0.0108722
2.51565e-06,-0.0103203
2.5157e-06,-0.0118104
2.51575e-06,-0.0126107
2.5158e-06,-0.0114241
2.51585e-06,-0.00998921
2.5159e-06,-0.0101548
2.51595e-06,-0.0112586
2.516e-06,-0.0112862
2.51605e-06,-0.00987883
2.5161e-06,-0.00869227
2.51615e-06,-0.00885784
2.5162e-06,-0.00943732
2.51625e-06,-0.00910619
2.5163e-06,-0.00858189
2.51635e-06,-0.00963048
2.5164e-06,-0.0124727
2.51645e-06,-0.0146251
2.5165e-06,-0.0139352
2.51655e-06,-0.0114517
2.5166e-06,-0.0100168
2.51665e-06,-0.0104031
2.5167e-06,-0.0104859
2.51675e-06,-0.00883025
2.5168e-06,-0.00750571
2.51685e-06,-0.00921657
2.5169e-06,-0.0129142
2.51695e-06,-0.0146803
2.517e-06,-0.0126107
2.51705e-06,-0.00910619
2.5171e-06,-0.0075609
2.51715e-06,-0.0085543
2.5172e-06,-0.0100168
2.51725e-06,-0.0103203
2.5173e-06,-0.00968567
2.51735e-06,-0.0090786
2.5174e-06,-0.00918897
2.51745e-06,-0.0104307
2.5175e-06,-0.0125279
2.51755e-06,-0.0140456
2.5176e-06,-0.0134109
2.51765e-06,-0.0113413
2.5177e-06,-0.0103755
2.51775e-06,-0.0115897
2.5178e-06,-0.0130522
2.51785e-06,-0.0128038
