LECROYWP740Zi,51411,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,29-Sep-2023 13:59:16,0                 
Time,Ampl
2.51195e-06,-0.01231541
2.512e-06,-0.01245062
2.51205e-06,-0.0124451
2.5121e-06,-0.01220503
2.51215e-06,-0.01200359
2.5122e-06,-0.01214984
2.51225e-06,-0.01252513
2.5123e-06,-0.01269897
2.51235e-06,-0.01248374
2.5124e-06,-0.01217468
2.51245e-06,-0.01215536
2.5125e-06,-0.01243959
2.51255e-06,-0.01269069
2.5126e-06,-0.01262999
2.51265e-06,-0.01231817
2.5127e-06,-0.0120643
2.51275e-06,-0.01209741
2.5128e-06,-0.01236508
2.51285e-06,-0.01261067
2.5129e-06,-0.01264102
2.51295e-06,-0.01248098
2.513e-06,-0.01228782
2.51305e-06,-0.01218848
2.5131e-06,-0.01221055
2.51315e-06,-0.01230713
2.5132e-06,-0.01238164
2.51325e-06,-0.01237336
2.5133e-06,-0.01233749
2.51335e-06,-0.01238992
2.5134e-06,-0.01250857
2.51345e-06,-0.01254444
2.5135e-06,-0.01244786
2.51355e-06,-0.01237612
2.5136e-06,-0.01245062
2.51365e-06,-0.0125472
2.5137e-06,-0.01253893
2.51375e-06,-0.01251685
2.5138e-06,-0.01261619
2.51385e-06,-0.01275416
2.5139e-06,-0.01272105
2.51395e-06,-0.01251685
2.514e-06,-0.01238164
2.51405e-06,-0.01248374
2.5141e-06,-0.01269621
2.51415e-06,-0.01274864
2.5142e-06,-0.01255272
2.51425e-06,-0.01230437
2.5143e-06,-0.01222159
2.51435e-06,-0.01232921
2.5144e-06,-0.01247546
2.51445e-06,-0.0125472
2.5145e-06,-0.01255548
2.51455e-06,-0.01256376
2.5146e-06,-0.01255548
2.51465e-06,-0.01248098
2.5147e-06,-0.01237888
2.51475e-06,-0.01232921
2.5148e-06,-0.01233197
2.51485e-06,-0.01231817
2.5149e-06,-0.01230713
2.51495e-06,-0.01237612
2.515e-06,-0.01247546
2.51505e-06,-0.0124451
2.5151e-06,-0.01227678
2.51515e-06,-0.01217192
2.5152e-06,-0.01226298
2.51525e-06,-0.01242027
2.5153e-06,-0.0124451
2.51535e-06,-0.01233197
2.5154e-06,-0.01222159
2.51545e-06,-0.01222711
2.5155e-06,-0.01233197
2.51555e-06,-0.01243959
2.5156e-06,-0.01242855
2.51565e-06,-0.01229058
2.5157e-06,-0.01217468
2.51575e-06,-0.01222159
2.5158e-06,-0.01234852
2.51585e-06,-0.01236508
2.5159e-06,-0.01228506
2.51595e-06,-0.01231265
2.516e-06,-0.01246718
2.51605e-06,-0.01250857
2.5161e-06,-0.01234025
2.51615e-06,-0.01220227
2.5162e-06,-0.01234025
2.51625e-06,-0.01261619
2.5163e-06,-0.01271553
2.51635e-06,-0.01260791
2.5164e-06,-0.01251409
2.51645e-06,-0.01252789
2.5165e-06,-0.0124727
2.51655e-06,-0.01224918
2.5166e-06,-0.01202843
2.51665e-06,-0.01198152
2.5167e-06,-0.0120643
2.51675e-06,-0.01213605
2.5168e-06,-0.01218848
2.51685e-06,-0.01229333
2.5169e-06,-0.01245614
2.51695e-06,-0.01259411
2.517e-06,-0.0126493
2.51705e-06,-0.01260239
2.5171e-06,-0.01247546
2.51715e-06,-0.01234576
2.5172e-06,-0.01229333
2.51725e-06,-0.01234852
2.5173e-06,-0.0124451
2.51735e-06,-0.01249753
2.5174e-06,-0.01243683
2.51745e-06,-0.01229333
2.5175e-06,-0.01219123
2.51755e-06,-0.01227402
2.5176e-06,-0.01252789
2.51765e-06,-0.01272657
2.5177e-06,-0.01266586
2.51775e-06,-0.01243407
2.5178e-06,-0.01233749
2.51785e-06,-0.01250305
2.5179e-06,-0.01269621
2.51795e-06,-0.01265206
2.518e-06,-0.01242855
2.51805e-06,-0.01227954
2.5181e-06,-0.01228782
2.51815e-06,-0.012343
2.5182e-06,-0.01243131
2.51825e-06,-0.01260515
2.5183e-06,-0.01279003
2.51835e-06,-0.01282591
2.5184e-06,-0.01272657
2.51845e-06,-0.01264654
2.5185e-06,-0.01265206
2.51855e-06,-0.0126493
2.5186e-06,-0.01259687
2.51865e-06,-0.01259411
2.5187e-06,-0.01274864
2.51875e-06,-0.01297216
2.5188e-06,-0.01302459
2.51885e-06,-0.01277348
2.5189e-06,-0.01240647
2.51895e-06,-0.01227954
2.519e-06,-0.01253893
2.51905e-06,-0.01292249
2.5191e-06,-0.01304666
2.51915e-06,-0.01280659
2.5192e-06,-0.01246442
2.51925e-06,-0.01236784
2.5193e-06,-0.01258584
2.51935e-06,-0.01283143
2.5194e-06,-0.01276244
2.51945e-06,-0.01240923
2.5195e-06,-0.01216088
2.51955e-06,-0.01228782
2.5196e-06,-0.01258584
2.51965e-06,-0.01265758
2.5197e-06,-0.01243407
2.51975e-06,-0.01222159
2.5198e-06,-0.01227402
2.51985e-06,-0.01249201
