LECROYWP740Zi,51411,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,29-Sep-2023 13:54:22,0                 
Time,Ampl
2.5119624e-06,-0.00892276
2.5120124e-06,-0.00864533
2.5120624e-06,-0.00710558
2.5121124e-06,-0.00656459
2.5121624e-06,-0.00963022
2.5122124e-06,-0.0145546
2.5122624e-06,-0.0161915
2.5123124e-06,-0.0127375
2.5123624e-06,-0.00877017
2.5124124e-06,-0.00961634
2.5124624e-06,-0.014194
2.5125124e-06,-0.0163302
2.5125624e-06,-0.0126958
2.5126124e-06,-0.00739688
2.5126624e-06,-0.00698074
2.5127124e-06,-0.0119606
2.5127624e-06,-0.0159695
2.5128124e-06,-0.0138056
2.5128624e-06,-0.00781303
2.5129124e-06,-0.0048445
2.5129624e-06,-0.00788239
2.5130124e-06,-0.0133617
2.5130624e-06,-0.0160389
2.5131124e-06,-0.0145408
2.5131624e-06,-0.0113503
2.5132124e-06,-0.00938053
2.5132624e-06,-0.00979668
2.5133124e-06,-0.0120023
2.5133624e-06,-0.0144575
2.5134124e-06,-0.0159418
2.5134624e-06,-0.0159834
2.5135124e-06,-0.0146934
2.5135624e-06,-0.0126404
2.5136124e-06,-0.01117
2.5136624e-06,-0.0118913
2.5137124e-06,-0.0148598
2.5137624e-06,-0.0179116
2.5138124e-06,-0.0183832
2.5138624e-06,-0.0155257
2.5139124e-06,-0.0109619
2.5139624e-06,-0.00725817
2.5140124e-06,-0.00596811
2.5140624e-06,-0.00696686
2.5141124e-06,-0.00908922
2.5141624e-06,-0.0111284
2.5142124e-06,-0.0122797
2.5142624e-06,-0.0127097
2.5143124e-06,-0.0131814
2.5143624e-06,-0.0142356
2.5144124e-06,-0.0152066
2.5144624e-06,-0.0150402
2.5145124e-06,-0.013542
2.5145624e-06,-0.0115029
2.5146124e-06,-0.00994926
2.5146624e-06,-0.00985216
2.5147124e-06,-0.0115168
2.5147624e-06,-0.0138472
2.5148124e-06,-0.0146517
2.5148624e-06,-0.0129594
2.5149124e-06,-0.0104625
2.5149624e-06,-0.00993539
2.5150124e-06,-0.011711
2.5150624e-06,-0.0133478
2.5151124e-06,-0.0130288
2.5151624e-06,-0.0119052
2.5152124e-06,-0.0122103
2.5152624e-06,-0.0137362
2.5153124e-06,-0.0139027
2.5153624e-06,-0.0118774
2.5154124e-06,-0.010407
2.5154624e-06,-0.0122936
2.5155124e-06,-0.016025
2.5155624e-06,-0.0170238
2.5156124e-06,-0.0131952
2.5156624e-06,-0.00817369
2.5157124e-06,-0.0072443
2.5157624e-06,-0.0112116
2.5158124e-06,-0.0153453
2.5158624e-06,-0.0149708
2.5159124e-06,-0.0110451
2.5159624e-06,-0.00860372
2.5160124e-06,-0.00981055
2.5160624e-06,-0.0116555
2.5161124e-06,-0.0105874
2.5161624e-06,-0.00746624
2.5162124e-06,-0.00588488
2.5162624e-06,-0.00703622
2.5163124e-06,-0.00881179
2.5163624e-06,-0.00925568
2.5164124e-06,-0.00886728
2.5164624e-06,-0.00877017
2.5165124e-06,-0.00907535
2.5165624e-06,-0.00938053
2.5166124e-06,-0.00981055
2.5166624e-06,-0.0109896
2.5167124e-06,-0.0129594
2.5167624e-06,-0.0147211
2.5168124e-06,-0.0152066
2.5168624e-06,-0.0144437
2.5169124e-06,-0.0134865
2.5169624e-06,-0.0129039
2.5170124e-06,-0.0127652
2.5170624e-06,-0.0134033
2.5171124e-06,-0.0152344
2.5171624e-06,-0.017107
2.5172124e-06,-0.0168296
2.5172624e-06,-0.0135975
2.5173124e-06,-0.00992152
2.5173624e-06,-0.00878405
2.5174124e-06,-0.0100325
2.5174624e-06,-0.0110451
2.5175124e-06,-0.0108093
2.5175624e-06,-0.0111561
2.5176124e-06,-0.0132646
2.5176624e-06,-0.015276
2.5177124e-06,-0.0147627
2.5177624e-06,-0.0124184
2.5178124e-06,-0.0109896
2.5178624e-06,-0.0111561
2.5179124e-06,-0.0110729
2.5179624e-06,-0.00993539
2.5180124e-06,-0.00957473
2.5180624e-06,-0.0112532
2.5181124e-06,-0.0135281
2.5181624e-06,-0.0141108
2.5182124e-06,-0.0127791
2.5182624e-06,-0.0113503
2.5183124e-06,-0.0114058
2.5183624e-06,-0.0131397
2.5184124e-06,-0.0152344
2.5184624e-06,-0.0156505
2.5185124e-06,-0.0138472
2.5185624e-06,-0.0121271
2.5186124e-06,-0.0132923
2.5186624e-06,-0.0165938
2.5187124e-06,-0.0178561
2.5187624e-06,-0.0148876
2.5188124e-06,-0.0111561
2.5188624e-06,-0.011711
2.5189124e-06,-0.016025
2.5189624e-06,-0.0178977
2.5190124e-06,-0.0137501
2.5190624e-06,-0.00803498
2.5191124e-06,-0.00781303
2.5191624e-06,-0.0135975
2.5192124e-06,-0.0191045
2.5192624e-06,-0.0194652
2.5193124e-06,-0.0159141
2.5193624e-06,-0.0123074
2.5194124e-06,-0.0103793
2.5194624e-06,-0.00957473
2.5195124e-06,-0.00895051
2.5195624e-06,-0.00858984
2.5196124e-06,-0.00936665
2.5196624e-06,-0.0120161
