LECROYWP740Zi,51411,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,25-Apr-2023 13:58:52,0                 
Time,Ampl
6.6995e-07,-0.007696783
6.7e-07,-0.007652102
6.7005e-07,-0.00762879
6.701e-07,-0.007601593
6.7015e-07,-0.007626847
6.702e-07,-0.007737578
6.7025e-07,-0.007873564
6.703e-07,-0.00795127
6.7035e-07,-0.007964868
6.704e-07,-0.007960983
6.7045e-07,-0.007966811
6.705e-07,-0.007995951
6.7055e-07,-0.00805423
6.706e-07,-0.008085313
6.7065e-07,-0.00798818
6.707e-07,-0.007770603
6.7075e-07,-0.007611306
6.708e-07,-0.007667643
6.7085e-07,-0.007867736
6.709e-07,-0.007994008
6.7095e-07,-0.007962926
6.71e-07,-0.007926015
6.7105e-07,-0.008036746
6.711e-07,-0.008252381
6.7115e-07,-0.008382538
6.712e-07,-0.008308717
6.7125e-07,-0.008116395
6.713e-07,-0.008015377
6.7135e-07,-0.008093083
6.714e-07,-0.00818633
6.7145e-07,-0.008063943
6.715e-07,-0.007755062
6.7155e-07,-0.00756274
6.716e-07,-0.007692897
6.7165e-07,-0.008009549
6.717e-07,-0.008209642
6.7175e-07,-0.008166904
6.718e-07,-0.008023148
6.7185e-07,-0.00795904
6.719e-07,-0.008011492
6.7195e-07,-0.008081427
6.72e-07,-0.008089198
6.7205e-07,-0.008023148
6.721e-07,-0.007902703
6.7215e-07,-0.007764775
6.722e-07,-0.007685127
6.7225e-07,-0.007704553
6.723e-07,-0.007764775
6.7235e-07,-0.007776431
6.724e-07,-0.007741464
6.7245e-07,-0.007722037
6.725e-07,-0.007749234
6.7255e-07,-0.007801686
6.726e-07,-0.007879392
6.7265e-07,-0.008007607
6.727e-07,-0.008170789
6.7275e-07,-0.008277635
6.728e-07,-0.008219356
6.7285e-07,-0.008013435
6.729e-07,-0.007828883
6.7295e-07,-0.007821112
6.73e-07,-0.007916302
6.7305e-07,-0.007871621
6.731e-07,-0.007615191
6.7315e-07,-0.007411213
6.732e-07,-0.007545256
6.7325e-07,-0.00792213
6.733e-07,-0.008192158
6.7335e-07,-0.008190216
6.734e-07,-0.008102796
6.7345e-07,-0.008135822
6.735e-07,-0.008262094
6.7355e-07,-0.008337857
6.736e-07,-0.00831066
6.7365e-07,-0.00821547
6.737e-07,-0.008060058
6.7375e-07,-0.007875506
6.738e-07,-0.00776089
6.7385e-07,-0.007776431
6.739e-07,-0.007828883
6.7395e-07,-0.007795858
6.74e-07,-0.00770261
6.7405e-07,-0.007700668
6.741e-07,-0.007883277
6.7415e-07,-0.008159133
6.742e-07,-0.008324259
6.7425e-07,-0.008256266
6.743e-07,-0.008052288
6.7435e-07,-0.007945442
6.744e-07,-0.008052288
6.7445e-07,-0.008225183
6.745e-07,-0.008197986
6.7455e-07,-0.007898818
6.746e-07,-0.007566625
6.7465e-07,-0.007490862
6.747e-07,-0.007687069
6.7475e-07,-0.007887162
6.748e-07,-0.007900761
6.7485e-07,-0.007828883
6.749e-07,-0.007883277
6.7495e-07,-0.008067829
6.75e-07,-0.008184388
6.7505e-07,-0.008122223
6.751e-07,-0.008005664
6.7515e-07,-0.008007607
6.752e-07,-0.008089198
6.7525e-07,-0.008087255
6.753e-07,-0.007970696
6.7535e-07,-0.007883277
6.754e-07,-0.007912417
6.7545e-07,-0.007994008
6.755e-07,-0.008056173
6.7555e-07,-0.008114452
6.756e-07,-0.008174675
6.7565e-07,-0.008182445
6.757e-07,-0.008126108
6.7575e-07,-0.008098911
6.758e-07,-0.008141649
6.7585e-07,-0.008174675
6.759e-07,-0.008126108
6.7595e-07,-0.008048402
6.76e-07,-0.008009549
6.7605e-07,-0.007970696
6.761e-07,-0.007887162
6.7615e-07,-0.007850252
6.762e-07,-0.007939614
6.7625e-07,-0.008028976
6.763e-07,-0.007966811
6.7635e-07,-0.007867736
6.764e-07,-0.007999836
6.7645e-07,-0.008335915
6.765e-07,-0.008528237
6.7655e-07,-0.00836894
6.766e-07,-0.008042574
6.7665e-07,-0.007850252
6.767e-07,-0.007852195
6.7675e-07,-0.007902703
6.768e-07,-0.007881334
6.7685e-07,-0.0077978
6.769e-07,-0.007729808
6.7695e-07,-0.007735636
6.77e-07,-0.007821112
6.7705e-07,-0.007937671
6.771e-07,-0.008044517
6.7715e-07,-0.008129994
6.772e-07,-0.008172732
6.7725e-07,-0.008137764
6.773e-07,-0.008052288
6.7735e-07,-0.008009549
6.774e-07,-0.008075599
6.7745e-07,-0.008194101
6.775e-07,-0.008250438
6.7755e-07,-0.008168847
6.776e-07,-0.007964868
6.7765e-07,-0.007718152
6.777e-07,-0.007582166
6.7775e-07,-0.007687069
6.778e-07,-0.007949327
6.7785e-07,-0.008096969
6.779e-07,-0.007994008
6.7795e-07,-0.007848309
6.78e-07,-0.007933786
6.7805e-07,-0.008192158
6.781e-07,-0.008293176
6.7815e-07,-0.008089198
6.782e-07,-0.00781917
6.7825e-07,-0.007782259
6.783e-07,-0.007966811
6.7835e-07,-0.008096969
6.784e-07,-0.008003721
6.7845e-07,-0.0077978
6.785e-07,-0.007698725
6.7855e-07,-0.007784202
6.786e-07,-0.007935729
6.7865e-07,-0.007992065
6.787e-07,-0.007937671
6.7875e-07,-0.00788522
6.788e-07,-0.007935729
6.7885e-07,-0.008091141
6.789e-07,-0.008277635
6.7895e-07,-0.008409735
6.79e-07,-0.008384481
6.7905e-07,-0.008164961
6.791e-07,-0.007871621
6.7915e-07,-0.007722037
6.792e-07,-0.007778374
6.7925e-07,-0.00786385
6.793e-07,-0.007811399
6.7935e-07,-0.00770261
6.794e-07,-0.007739521
6.7945e-07,-0.007957098
6.795e-07,-0.008188273
6.7955e-07,-0.008287348
6.796e-07,-0.008275692
6.7965e-07,-0.008238782
6.797e-07,-0.008211585
6.7975e-07,-0.008157191
6.798e-07,-0.008044517
6.7985e-07,-0.007879392
6.799e-07,-0.007737578
6.7995e-07,-0.007690955
6.8e-07,-0.007743406
6.8005e-07,-0.00781917
6.801e-07,-0.007877449
6.8015e-07,-0.007955155
6.802e-07,-0.008071714
6.8025e-07,-0.008184388
6.803e-07,-0.008236839
6.8035e-07,-0.008223241
6.804e-07,-0.008163019
6.8045e-07,-0.008102796
6.805e-07,-0.008128051
6.8055e-07,-0.008283463
6.806e-07,-0.008456359
6.8065e-07,-0.008444703
6.807e-07,-0.008192158
6.8075e-07,-0.00789299
6.808e-07,-0.007784202
6.8085e-07,-0.007887162
6.809e-07,-0.008021205
6.8095e-07,-0.00804646
6.81e-07,-0.008048402
6.8105e-07,-0.008172732
6.811e-07,-0.008361169
6.8115e-07,-0.008390309
6.812e-07,-0.008196044
6.8125e-07,-0.008011492
6.813e-07,-0.008056173
6.8135e-07,-0.00821547
6.814e-07,-0.008182445
6.8145e-07,-0.007935729
6.815e-07,-0.007803628
6.8155e-07,-0.007994008
6.816e-07,-0.008269864
6.8165e-07,-0.008264036
6.817e-07,-0.007997893
6.8175e-07,-0.007832768
6.818e-07,-0.007992065
6.8185e-07,-0.008318431
6.819e-07,-0.008485499
6.8195e-07,-0.008378653
6.82e-07,-0.008174675
6.8205e-07,-0.008118338
6.821e-07,-0.008229069
6.8215e-07,-0.008314545
6.822e-07,-0.008231011
6.8225e-07,-0.008062001
6.823e-07,-0.008005664
6.8235e-07,-0.008118338
6.824e-07,-0.008262094
6.8245e-07,-0.008271807
6.825e-07,-0.008145535
6.8255e-07,-0.008028976
6.826e-07,-0.008063943
6.8265e-07,-0.008252381
6.827e-07,-0.008450531
6.8275e-07,-0.008512696
6.828e-07,-0.008419449
6.8285e-07,-0.008269864
6.829e-07,-0.008172732
6.8295e-07,-0.008155248
6.83e-07,-0.008192158
6.8305e-07,-0.00824461
6.831e-07,-0.008275692
6.8315e-07,-0.008267922
6.832e-07,-0.008256266
6.8325e-07,-0.008304832
6.833e-07,-0.008384481
6.8335e-07,-0.008394194
6.834e-07,-0.008297062
6.8345e-07,-0.008225183
6.835e-07,-0.008332029
6.8355e-07,-0.008555434
6.836e-07,-0.008629255
6.8365e-07,-0.008407793
6.837e-07,-0.008085313
6.8375e-07,-0.007972639
6.838e-07,-0.008100854
6.8385e-07,-0.008192158
6.839e-07,-0.008077542
6.8395e-07,-0.00792213
6.84e-07,-0.007976524
6.8405e-07,-0.008188273
6.841e-07,-0.008318431
6.8415e-07,-0.008283463
6.842e-07,-0.008232954
6.8425e-07,-0.00824461
6.843e-07,-0.008231011
6.8435e-07,-0.008151363
6.844e-07,-0.008143592
6.8445e-07,-0.00828152
6.845e-07,-0.008411678
6.8455e-07,-0.00834757
6.846e-07,-0.008116395
6.8465e-07,-0.007891048
6.847e-07,-0.007782259
6.8475e-07,-0.007786144
6.848e-07,-0.00788522
6.8485e-07,-0.008056173
6.849e-07,-0.008231011
6.8495e-07,-0.008324259
6.85e-07,-0.008341742
6.8505e-07,-0.008357284
6.851e-07,-0.008380595
6.8515e-07,-0.0083398
6.852e-07,-0.008201872
6.8525e-07,-0.008011492
6.853e-07,-0.007832768
6.8535e-07,-0.007712324
6.854e-07,-0.007720094
6.8545e-07,-0.007891048
6.855e-07,-0.008114452
6.8555e-07,-0.008192158
6.856e-07,-0.008071714
6.8565e-07,-0.007931843
6.857e-07,-0.007978467
6.8575e-07,-0.008209642
6.858e-07,-0.00844276
6.8585e-07,-0.008551549
6.859e-07,-0.008532122
6.8595e-07,-0.008431104
6.86e-07,-0.008299004
6.8605e-07,-0.008205757
6.861e-07,-0.008211585
6.8615e-07,-0.008283463
6.862e-07,-0.008328144
6.8625e-07,-0.008293176
6.863e-07,-0.008217413
6.8635e-07,-0.008192158
6.864e-07,-0.008279578
6.8645e-07,-0.008415563
6.865e-07,-0.008469957
6.8655e-07,-0.008415563
6.866e-07,-0.008365054
6.8665e-07,-0.008390309
6.867e-07,-0.008392251
6.8675e-07,-0.008260151
6.868e-07,-0.008065886
6.8685e-07,-0.007960983
6.869e-07,-0.007966811
6.8695e-07,-0.007997893
6.87e-07,-0.008062001
6.8705e-07,-0.008256266
6.871e-07,-0.008520466
6.8715e-07,-0.008592344
6.872e-07,-0.008388366
6.8725e-07,-0.008201872
6.873e-07,-0.008316488
6.8735e-07,-0.008582631
6.874e-07,-0.008637025
6.8745e-07,-0.008415563
6.875e-07,-0.008199929
6.8755e-07,-0.008192158
6.876e-07,-0.008279578
6.8765e-07,-0.008295119
6.877e-07,-0.008225183
6.8775e-07,-0.008147477
6.878e-07,-0.008095026
6.8785e-07,-0.008077542
6.879e-07,-0.008145535
6.8795e-07,-0.008289291
6.88e-07,-0.008417506
6.8805e-07,-0.008464129
6.881e-07,-0.008450531
6.8815e-07,-0.008400022
6.882e-07,-0.008333972
6.8825e-07,-0.00834757
6.883e-07,-0.00850881
6.8835e-07,-0.008687534
6.884e-07,-0.008631197
6.8845e-07,-0.008361169
6.885e-07,-0.008201872
6.8855e-07,-0.008326201
6.886e-07,-0.008477728
6.8865e-07,-0.008361169
6.887e-07,-0.008135822
6.8875e-07,-0.008225183
6.888e-07,-0.008650624
6.8885e-07,-0.008932308
6.889e-07,-0.008738043
6.8895e-07,-0.008349513
6.89e-07,-0.008275692
6.8905e-07,-0.008570975
6.891e-07,-0.00882352
6.8915e-07,-0.008724445
6.892e-07,-0.008415563
6.8925e-07,-0.008227126
6.893e-07,-0.008295119
6.8935e-07,-0.008504925
6.894e-07,-0.008664222
6.8945e-07,-0.00867005
6.895e-07,-0.008588459
6.8955e-07,-0.008584574
6.896e-07,-0.008705018
6.8965e-07,-0.008790495
6.897e-07,-0.008658395
6.8975e-07,-0.008374768
6.898e-07,-0.00817856
6.8985e-07,-0.00818633
6.899e-07,-0.008277635
6.8995e-07,-0.008316488
6.9e-07,-0.008304832
6.9005e-07,-0.00831066
6.901e-07,-0.008332029
6.9015e-07,-0.008353398
6.902e-07,-0.00840585
6.9025e-07,-0.008510753
6.903e-07,-0.008609828
6.9035e-07,-0.00863314
6.904e-07,-0.008592344
6.9045e-07,-0.008555434
6.905e-07,-0.00853795
6.9055e-07,-0.008502982
6.906e-07,-0.008450531
6.9065e-07,-0.008423334
6.907e-07,-0.008433047
6.9075e-07,-0.008433047
6.908e-07,-0.008417506
6.9085e-07,-0.008444703
6.909e-07,-0.008520466
6.9095e-07,-0.008572918
6.91e-07,-0.008569033
6.9105e-07,-0.008565147
6.911e-07,-0.008574861
6.9115e-07,-0.00853018
6.912e-07,-0.008411678
6.9125e-07,-0.008337857
6.913e-07,-0.008400022
6.9135e-07,-0.008512696
6.914e-07,-0.008514638
6.9145e-07,-0.008388366
6.915e-07,-0.008279578
6.9155e-07,-0.008289291
6.916e-07,-0.00836894
6.9165e-07,-0.008419449
6.917e-07,-0.008419449
6.9175e-07,-0.008378653
6.918e-07,-0.008297062
6.9185e-07,-0.008242667
6.919e-07,-0.008374768
6.9195e-07,-0.008712789
6.92e-07,-0.008973104
6.9205e-07,-0.008841004
6.921e-07,-0.008417506
6.9215e-07,-0.008157191
6.922e-07,-0.008304832
6.9225e-07,-0.008588459
6.923e-07,-0.008611771
6.9235e-07,-0.008365054
6.924e-07,-0.008174675
6.9245e-07,-0.008238782
6.925e-07,-0.008433047
6.9255e-07,-0.008565147
6.926e-07,-0.008615656
6.9265e-07,-0.008640911
6.927e-07,-0.008623427
6.9275e-07,-0.00853795
6.928e-07,-0.008464129
6.9285e-07,-0.008485499
6.929e-07,-0.008543778
6.9295e-07,-0.008497155
6.93e-07,-0.008335915
6.9305e-07,-0.008242667
6.931e-07,-0.00834757
6.9315e-07,-0.008532122
6.932e-07,-0.008580688
6.9325e-07,-0.008456359
6.933e-07,-0.008320373
6.9335e-07,-0.008304832
6.934e-07,-0.008425276
6.9345e-07,-0.008640911
6.935e-07,-0.008868201
6.9355e-07,-0.008943964
6.936e-07,-0.008747756
6.9365e-07,-0.008417506
6.937e-07,-0.008238782
6.9375e-07,-0.008308717
6.938e-07,-0.008446646
6.9385e-07,-0.008466072
6.939e-07,-0.008415563
6.9395e-07,-0.008427219
6.94e-07,-0.008504925
6.9405e-07,-0.008547663
6.941e-07,-0.008551549
6.9415e-07,-0.008592344
6.942e-07,-0.008646739
6.9425e-07,-0.008609828
6.943e-07,-0.00850104
6.9435e-07,-0.008489384
6.944e-07,-0.008629255
6.9445e-07,-0.008716674
6.945e-07,-0.008559319
6.9455e-07,-0.008289291
6.946e-07,-0.008234897
6.9465e-07,-0.008475785
6.947e-07,-0.008716674
6.9475e-07,-0.008668108
6.948e-07,-0.008413621
6.9485e-07,-0.008269864
6.949e-07,-0.008407793
6.9495e-07,-0.008701133
6.95e-07,-0.008899283
6.9505e-07,-0.008862373
6.951e-07,-0.00869142
6.9515e-07,-0.008576803
6.952e-07,-0.008569033
6.9525e-07,-0.008514638
6.953e-07,-0.008316488
6.9535e-07,-0.00812028
6.954e-07,-0.008129994
6.9545e-07,-0.008308717
6.955e-07,-0.008417506
6.9555e-07,-0.008365054
6.956e-07,-0.008320373
6.9565e-07,-0.008440818
6.957e-07,-0.00863314
6.9575e-07,-0.008683649
6.958e-07,-0.008553491
6.9585e-07,-0.008409735
6.959e-07,-0.008394194
6.9595e-07,-0.008446646
6.96e-07,-0.008421391
6.9605e-07,-0.008299004
6.961e-07,-0.00818633
6.9615e-07,-0.008151363
6.962e-07,-0.008168847
6.9625e-07,-0.008219356
6.963e-07,-0.008306775
6.9635e-07,-0.008378653
6.964e-07,-0.008366997
6.9645e-07,-0.008293176
6.965e-07,-0.008267922
6.9655e-07,-0.008330087
6.966e-07,-0.008401965
6.9665e-07,-0.008431104
6.967e-07,-0.008469957
6.9675e-07,-0.008545721
6.968e-07,-0.008555434
6.9685e-07,-0.008388366
6.969e-07,-0.008128051
6.9695e-07,-0.00798818
6.97e-07,-0.008081427
6.9705e-07,-0.008308717
6.971e-07,-0.008495212
6.9715e-07,-0.008545721
6.972e-07,-0.008493269
6.9725e-07,-0.008452474
6.973e-07,-0.00853018
6.9735e-07,-0.00869142
6.974e-07,-0.008741928
6.9745e-07,-0.008541835
6.975e-07,-0.008231011
6.9755e-07,-0.008106682
6.976e-07,-0.008252381
6.9765e-07,-0.008427219
6.977e-07,-0.008382538
6.9775e-07,-0.008203814
6.978e-07,-0.008184388
6.9785e-07,-0.008409735
6.979e-07,-0.008656452
6.9795e-07,-0.00869142
6.98e-07,-0.00856709
6.9805e-07,-0.008483556
6.981e-07,-0.008524352
6.9815e-07,-0.008607886
6.982e-07,-0.008652567
6.9825e-07,-0.008660337
6.983e-07,-0.008640911
6.9835e-07,-0.008580688
6.984e-07,-0.008497155
6.9845e-07,-0.008433047
6.985e-07,-0.008357284
6.9855e-07,-0.008213528
6.986e-07,-0.008093083
6.9865e-07,-0.008174675
6.987e-07,-0.008444703
6.9875e-07,-0.008648681
6.988e-07,-0.008623427
6.9885e-07,-0.008532122
6.989e-07,-0.008609828
6.9895e-07,-0.008780781
6.99e-07,-0.008747756
6.9905e-07,-0.008469957
6.991e-07,-0.00827375
6.9915e-07,-0.008380595
6.992e-07,-0.008574861
6.9925e-07,-0.008512696
6.993e-07,-0.008234897
6.9935e-07,-0.008089198
6.994e-07,-0.008223241
6.9945e-07,-0.008429162
6.995e-07,-0.008495212
6.9955e-07,-0.008464129
6.996e-07,-0.008487441
6.9965e-07,-0.008580688
6.997e-07,-0.008671993
6.9975e-07,-0.008738043
6.998e-07,-0.008809921
6.9985e-07,-0.008837118
6.999e-07,-0.008706961
6.9995e-07,-0.008407793
7e-07,-0.008159133
7.0005e-07,-0.008219356
7.001e-07,-0.008543778
7.0015e-07,-0.008753584
7.002e-07,-0.008578746
7.0025e-07,-0.008248495
7.003e-07,-0.008248495
7.0035e-07,-0.008646739
7.004e-07,-0.008980874
7.0045e-07,-0.008872086
7.005e-07,-0.008526294
7.0055e-07,-0.008411678
7.006e-07,-0.00859623
7.0065e-07,-0.008720559
7.007e-07,-0.008565147
7.0075e-07,-0.008343685
7.008e-07,-0.008355341
7.0085e-07,-0.008563205
7.009e-07,-0.008671993
7.0095e-07,-0.008549606
7.01e-07,-0.00837671
7.0105e-07,-0.008396137
7.011e-07,-0.008631197
7.0115e-07,-0.008874029
7.012e-07,-0.008930366
7.0125e-07,-0.008788552
7.013e-07,-0.008576803
7.0135e-07,-0.00843499
7.014e-07,-0.008431104
7.0145e-07,-0.00853795
7.015e-07,-0.008638968
7.0155e-07,-0.008625369
7.016e-07,-0.00853018
7.0165e-07,-0.008475785
7.017e-07,-0.008489384
7.0175e-07,-0.008497155
7.018e-07,-0.00850881
7.0185e-07,-0.008604
7.019e-07,-0.00872833
7.0195e-07,-0.008720559
7.02e-07,-0.008594287
7.0205e-07,-0.008543778
7.021e-07,-0.008623427
7.0215e-07,-0.008637025
7.022e-07,-0.008440818
7.0225e-07,-0.00818633
7.023e-07,-0.008129994
7.0235e-07,-0.008308717
7.024e-07,-0.00853795
7.0245e-07,-0.008654509
7.025e-07,-0.008619542
7.0255e-07,-0.008481613
7.026e-07,-0.008341742
7.0265e-07,-0.008332029
7.027e-07,-0.008485499
7.0275e-07,-0.008638968
7.028e-07,-0.008590402
7.0285e-07,-0.008363112
7.029e-07,-0.008225183
7.0295e-07,-0.008341742
7.03e-07,-0.008569033
7.0305e-07,-0.00867005
7.031e-07,-0.008619542
7.0315e-07,-0.00856709
7.032e-07,-0.008574861
7.0325e-07,-0.008555434
7.033e-07,-0.0084719
7.0335e-07,-0.008425276
7.034e-07,-0.008504925
7.0345e-07,-0.008652567
7.035e-07,-0.008755527
7.0355e-07,-0.008798265
7.036e-07,-0.008815749
7.0365e-07,-0.008774954
7.037e-07,-0.008607886
7.0375e-07,-0.008378653
7.038e-07,-0.008291234
7.0385e-07,-0.00843499
7.039e-07,-0.008654509
7.0395e-07,-0.008738043
7.04e-07,-0.008668108
7.0405e-07,-0.008586516
7.041e-07,-0.008580688
7.0415e-07,-0.008602058
7.042e-07,-0.008588459
7.0425e-07,-0.008561262
7.043e-07,-0.008576803
7.0435e-07,-0.008621484
7.044e-07,-0.008638968
7.0445e-07,-0.008604
7.045e-07,-0.008551549
7.0455e-07,-0.008516581
7.046e-07,-0.008493269
7.0465e-07,-0.008485499
7.047e-07,-0.008516581
7.0475e-07,-0.008602058
7.048e-07,-0.008703075
7.0485e-07,-0.008747756
7.049e-07,-0.00867005
7.0495e-07,-0.008477728
7.05e-07,-0.008295119
