"1500from5 - RawData"
"Wavelength nm.","T%"
190.00,0.0339
192.00,0.0338
194.00,0.0341
196.00,0.0363
198.00,0.0379
200.00,0.0390
202.00,0.0387
204.00,0.0393
206.00,0.0395
208.00,0.0400
210.00,0.0402
212.00,0.0409
214.00,0.0410
216.00,0.0412
218.00,0.0407
220.00,0.0409
222.00,0.0409
224.00,0.0414
226.00,0.0409
228.00,0.0409
230.00,0.0409
232.00,0.0415
234.00,0.0420
236.00,0.0425
238.00,0.0422
240.00,0.0419
242.00,0.0417
244.00,0.0419
246.00,0.0417
248.00,0.0417
250.00,0.0416
252.00,0.0419
254.00,0.0418
256.00,0.0419
258.00,0.0416
260.00,0.0416
262.00,0.0414
264.00,0.0415
266.00,0.0418
268.00,0.0424
270.00,0.0423
272.00,0.0422
274.00,0.0423
276.00,0.0424
278.00,0.0427
280.00,0.0423
282.00,0.0424
284.00,0.0420
286.00,0.0420
288.00,0.0416
290.00,0.0416
292.00,0.0417
294.00,0.0381
296.00,0.0338
298.00,0.0301
300.00,0.0297
302.00,0.0294
304.00,0.0286
306.00,0.0285
308.00,0.0292
310.00,0.0296
312.00,0.0302
314.00,0.0302
316.00,0.0296
318.00,0.0288
320.00,0.0284
322.00,0.0281
324.00,0.0280
326.00,0.0277
328.00,0.0279
330.00,0.0280
332.00,0.0284
334.00,0.0286
336.00,0.0284
338.00,0.0291
340.00,0.0289
342.00,0.0290
344.00,0.0283
346.00,0.0285
348.00,0.0282
350.00,0.0278
352.00,0.0283
354.00,0.0287
356.00,0.0292
358.00,0.0288
360.00,0.0285
362.00,0.0285
364.00,0.0284
366.00,0.0286
368.00,0.0285
370.00,0.0290
372.00,0.0291
374.00,0.0290
376.00,0.0288
378.00,0.0287
380.00,0.0288
382.00,0.0288
384.00,0.0289
386.00,0.0290
388.00,0.0289
390.00,0.0287
392.00,0.0286
394.00,0.0286
396.00,0.0288
398.00,0.0290
400.00,0.0285
402.00,0.0283
404.00,0.0283
406.00,0.0291
408.00,0.0294
410.00,0.0293
412.00,0.0291
414.00,0.0288
416.00,0.0287
418.00,0.0287
420.00,0.0293
422.00,0.0296
424.00,0.0299
426.00,0.0296
428.00,0.0295
430.00,0.0287
432.00,0.0285
434.00,0.0286
436.00,0.0285
438.00,0.0278
440.00,0.0280
442.00,0.0282
444.00,0.0287
446.00,0.0288
448.00,0.0291
450.00,0.0291
452.00,0.0281
454.00,0.0274
456.00,0.0271
458.00,0.0275
460.00,0.0275
462.00,0.0279
464.00,0.0281
466.00,0.0286
468.00,0.0291
470.00,0.0291
472.00,0.0291
474.00,0.0285
476.00,0.0287
478.00,0.0285
480.00,0.0284
482.00,0.0278
484.00,0.0276
486.00,0.0278
488.00,0.0274
490.00,0.0278
492.00,0.0282
494.00,0.0286
496.00,0.0285
498.00,0.0279
500.00,0.0281
502.00,0.0280
504.00,0.0282
506.00,0.0281
508.00,0.0283
510.00,0.0284
512.00,0.0283
514.00,0.0283
516.00,0.0280
518.00,0.0283
520.00,0.0277
522.00,0.0280
524.00,0.0279
526.00,0.0284
528.00,0.0285
530.00,0.0283
532.00,0.0282
534.00,0.0284
536.00,0.0284
538.00,0.0280
540.00,0.0278
542.00,0.0279
544.00,0.0285
546.00,0.0285
548.00,0.0287
550.00,0.0288
552.00,0.0291
554.00,0.0288
556.00,0.0285
558.00,0.0277
560.00,0.0275
562.00,0.0274
564.00,0.0278
566.00,0.0285
568.00,0.0289
570.00,0.0290
572.00,0.0283
574.00,0.0277
576.00,0.0279
578.00,0.0280
580.00,0.0286
582.00,0.0282
584.00,0.0285
586.00,0.0280
588.00,0.0283
590.00,0.0280
592.00,0.0282
594.00,0.0277
596.00,0.0278
598.00,0.0281
600.00,0.0283
602.00,0.0283
604.00,0.0276
606.00,0.0276
608.00,0.0279
610.00,0.0283
612.00,0.0282
614.00,0.0275
616.00,0.0276
618.00,0.0278
620.00,0.0284
622.00,0.0279
624.00,0.0275
626.00,0.0276
628.00,0.0281
630.00,0.0287
632.00,0.0283
634.00,0.0288
636.00,0.0285
638.00,0.0291
640.00,0.0292
642.00,0.0285
644.00,0.0284
646.00,0.0274
648.00,0.0284
650.00,0.0283
652.00,0.0292
654.00,0.0290
656.00,0.0293
658.00,0.0290
660.00,0.0296
662.00,0.0292
664.00,0.0290
666.00,0.0282
668.00,0.0280
670.00,0.0278
672.00,0.0282
674.00,0.0282
676.00,0.0284
678.00,0.0284
680.00,0.0288
682.00,0.0288
684.00,0.0292
686.00,0.0297
688.00,0.0300
690.00,0.0304
692.00,0.0303
694.00,0.0306
696.00,0.0299
698.00,0.0304
700.00,0.0305
702.00,0.0312
704.00,0.0310
706.00,0.0308
708.00,0.0311
710.00,0.0314
712.00,0.0316
714.00,0.0318
716.00,0.0314
718.00,0.0315
720.00,0.0364
722.00,0.0420
724.00,0.0475
726.00,0.0477
728.00,0.0477
730.00,0.0481
732.00,0.0481
734.00,0.0486
736.00,0.0486
738.00,0.0493
740.00,0.0492
742.00,0.0496
744.00,0.0502
746.00,0.0506
748.00,0.0510
750.00,0.0509
752.00,0.0510
754.00,0.0506
756.00,0.0501
758.00,0.0495
760.00,0.0489
762.00,0.0485
764.00,0.0481
766.00,0.0481
768.00,0.0484
770.00,0.0484
772.00,0.0484
774.00,0.0475
776.00,0.0477
778.00,0.0473
780.00,0.0477
782.00,0.0475
784.00,0.0479
786.00,0.0477
788.00,0.0476
790.00,0.0477
792.00,0.0479
794.00,0.0478
796.00,0.0478
798.00,0.0477
800.00,0.0477
802.00,0.0473
804.00,0.0472
806.00,0.0470
808.00,0.0474
810.00,0.0471
812.00,0.0469
814.00,0.0465
816.00,0.0469
818.00,0.0477
820.00,0.0481
822.00,0.0483
824.00,0.0476
826.00,0.0473
828.00,0.0469
830.00,0.0499
832.00,0.0502
834.00,0.0521
836.00,0.0518
838.00,0.0517
840.00,0.0516
842.00,0.0514
844.00,0.0517
846.00,0.0521
848.00,0.0522
850.00,0.0528
852.00,0.0496
854.00,0.0486
856.00,0.0474
858.00,0.0507
860.00,0.0511
862.00,0.0529
864.00,0.0525
866.00,0.0538
868.00,0.0517
870.00,0.0525
872.00,0.0533
874.00,0.0543
876.00,0.0538
878.00,0.0529
880.00,0.0529
882.00,0.0513
884.00,0.0505
886.00,0.0509
888.00,0.0509
890.00,0.0499
892.00,0.0503
894.00,0.0543
896.00,0.0563
898.00,0.0560
900.00,0.0531
902.00,0.0514
904.00,0.0508
906.00,0.0513
908.00,0.0517
910.00,0.0514
912.00,0.0509
914.00,0.0525
916.00,0.0544
918.00,0.0557
920.00,0.0536
922.00,0.0529
924.00,0.0511
926.00,0.0510
928.00,0.0503
930.00,0.0523
932.00,0.0536
934.00,0.0528
936.00,0.0521
938.00,0.0534
940.00,0.0539
942.00,0.0531
944.00,0.0513
946.00,0.0502
948.00,0.0508
950.00,0.0509
952.00,0.0521
954.00,0.0536
956.00,0.0538
958.00,0.0536
960.00,0.0526
962.00,0.0524
964.00,0.0529
966.00,0.0529
968.00,0.0530
970.00,0.0530
972.00,0.0532
974.00,0.0536
976.00,0.0538
978.00,0.0543
980.00,0.0537
982.00,0.0531
984.00,0.0522
986.00,0.0522
988.00,0.0523
990.00,0.0532
992.00,0.0534
994.00,0.0534
996.00,0.0529
998.00,0.0526
1000.00,0.0525
1002.00,0.0518
1004.00,0.0516
1006.00,0.0515
1008.00,0.0518
1010.00,0.0521
1012.00,0.0522
1014.00,0.0523
1016.00,0.0524
1018.00,0.0525
1020.00,0.0525
1022.00,0.0523
1024.00,0.0521
1026.00,0.0524
1028.00,0.0527
1030.00,0.0527
1032.00,0.0528
1034.00,0.0529
1036.00,0.0535
1038.00,0.0537
1040.00,0.0536
1042.00,0.0538
1044.00,0.0541
1046.00,0.0552
1048.00,0.0566
1050.00,0.0586
1052.00,0.0620
1054.00,0.0646
1056.00,0.0669
1058.00,0.0672
1060.00,0.0659
1062.00,0.0632
1064.00,0.0601
1066.00,0.0580
1068.00,0.0566
1070.00,0.0554
1072.00,0.0550
1074.00,0.0550
1076.00,0.0554
1078.00,0.0555
1080.00,0.0555
1082.00,0.0555
1084.00,0.0556
1086.00,0.0559
1088.00,0.0559
1090.00,0.0556
1092.00,0.0555
1094.00,0.0553
1096.00,0.0552
1098.00,0.0551
1100.00,0.0550
1102.00,0.0556
1104.00,0.0558
1106.00,0.0561
1108.00,0.0557
1110.00,0.0559
1112.00,0.0557
1114.00,0.0557
1116.00,0.0556
1118.00,0.0558
1120.00,0.0556
1122.00,0.0554
1124.00,0.0553
