"840_1 - RawData"
"Wavelength nm.","T%"
190.00,0.0528
192.00,0.0547
194.00,0.0578
196.00,0.0615
198.00,0.0635
200.00,0.0643
202.00,0.0651
204.00,0.0655
206.00,0.0662
208.00,0.0670
210.00,0.0675
212.00,0.0682
214.00,0.0678
216.00,0.0686
218.00,0.0686
220.00,0.0687
222.00,0.0690
224.00,0.0695
226.00,0.0695
228.00,0.0697
230.00,0.0698
232.00,0.0703
234.00,0.0703
236.00,0.0702
238.00,0.0704
240.00,0.0703
242.00,0.0702
244.00,0.0702
246.00,0.0703
248.00,0.0706
250.00,0.0703
252.00,0.0706
254.00,0.0706
256.00,0.0710
258.00,0.0711
260.00,0.0717
262.00,0.0715
264.00,0.0714
266.00,0.0710
268.00,0.0709
270.00,0.0709
272.00,0.0711
274.00,0.0714
276.00,0.0714
278.00,0.0715
280.00,0.0718
282.00,0.0719
284.00,0.0719
286.00,0.0715
288.00,0.0716
290.00,0.0715
292.00,0.0714
294.00,0.0639
296.00,0.0564
298.00,0.0493
300.00,0.0490
302.00,0.0489
304.00,0.0490
306.00,0.0493
308.00,0.0493
310.00,0.0489
312.00,0.0490
314.00,0.0493
316.00,0.0497
318.00,0.0492
320.00,0.0488
322.00,0.0487
324.00,0.0489
326.00,0.0492
328.00,0.0497
330.00,0.0495
332.00,0.0491
334.00,0.0486
336.00,0.0493
338.00,0.0503
340.00,0.0522
342.00,0.0537
344.00,0.0560
346.00,0.0569
348.00,0.0580
350.00,0.0574
352.00,0.0558
354.00,0.0536
356.00,0.0516
358.00,0.0508
360.00,0.0503
362.00,0.0496
364.00,0.0490
366.00,0.0489
368.00,0.0489
370.00,0.0495
372.00,0.0495
374.00,0.0504
376.00,0.0504
378.00,0.0507
380.00,0.0507
382.00,0.0506
384.00,0.0504
386.00,0.0502
388.00,0.0502
390.00,0.0506
392.00,0.0509
394.00,0.0508
396.00,0.0507
398.00,0.0507
400.00,0.0509
402.00,0.0508
404.00,0.0511
406.00,0.0512
408.00,0.0515
410.00,0.0514
412.00,0.0513
414.00,0.0515
416.00,0.0512
418.00,0.0510
420.00,0.0503
422.00,0.0508
424.00,0.0508
426.00,0.0512
428.00,0.0509
430.00,0.0505
432.00,0.0499
434.00,0.0497
436.00,0.0508
438.00,0.0511
440.00,0.0513
442.00,0.0508
444.00,0.0511
446.00,0.0512
448.00,0.0511
450.00,0.0510
452.00,0.0507
454.00,0.0505
456.00,0.0507
458.00,0.0502
460.00,0.0505
462.00,0.0515
464.00,0.0548
466.00,0.0591
468.00,0.0636
470.00,0.0659
472.00,0.0657
474.00,0.0626
476.00,0.0585
478.00,0.0546
480.00,0.0533
482.00,0.0538
484.00,0.0552
486.00,0.0567
488.00,0.0582
490.00,0.0586
492.00,0.0578
494.00,0.0554
496.00,0.0538
498.00,0.0525
500.00,0.0525
502.00,0.0521
504.00,0.0520
506.00,0.0517
508.00,0.0513
510.00,0.0520
512.00,0.0526
514.00,0.0536
516.00,0.0522
518.00,0.0520
520.00,0.0508
522.00,0.0517
524.00,0.0513
526.00,0.0521
528.00,0.0521
530.00,0.0524
532.00,0.0528
534.00,0.0528
536.00,0.0524
538.00,0.0515
540.00,0.0514
542.00,0.0515
544.00,0.0514
546.00,0.0516
548.00,0.0518
550.00,0.0523
552.00,0.0529
554.00,0.0535
556.00,0.0536
558.00,0.0535
560.00,0.0536
562.00,0.0536
564.00,0.0538
566.00,0.0533
568.00,0.0534
570.00,0.0533
572.00,0.0535
574.00,0.0546
576.00,0.0570
578.00,0.0602
580.00,0.0652
582.00,0.0706
584.00,0.0758
586.00,0.0780
588.00,0.0764
590.00,0.0718
592.00,0.0655
594.00,0.0606
596.00,0.0573
598.00,0.0557
600.00,0.0549
602.00,0.0548
604.00,0.0556
606.00,0.0571
608.00,0.0587
610.00,0.0609
612.00,0.0635
614.00,0.0680
616.00,0.0731
618.00,0.0804
620.00,0.0883
622.00,0.0979
624.00,0.1071
626.00,0.1159
628.00,0.1220
630.00,0.1245
632.00,0.1224
634.00,0.1177
636.00,0.1121
638.00,0.1079
640.00,0.1058
