"from6 - RawData"
"Wavelength nm.","T%"
190.00,0.0473
192.00,0.0487
194.00,0.0510
196.00,0.0525
198.00,0.0539
200.00,0.0545
202.00,0.0548
204.00,0.0551
206.00,0.0559
208.00,0.0567
210.00,0.0571
212.00,0.0569
214.00,0.0572
216.00,0.0578
218.00,0.0584
220.00,0.0582
222.00,0.0580
224.00,0.0579
226.00,0.0579
228.00,0.0579
230.00,0.0580
232.00,0.0582
234.00,0.0585
236.00,0.0591
238.00,0.0595
240.00,0.0599
242.00,0.0598
244.00,0.0598
246.00,0.0595
248.00,0.0597
250.00,0.0596
252.00,0.0600
254.00,0.0599
256.00,0.0603
258.00,0.0601
260.00,0.0599
262.00,0.0595
264.00,0.0599
266.00,0.0599
268.00,0.0599
270.00,0.0596
272.00,0.0597
274.00,0.0599
276.00,0.0605
278.00,0.0603
280.00,0.0601
282.00,0.0597
284.00,0.0601
286.00,0.0602
288.00,0.0598
290.00,0.0597
292.00,0.0600
294.00,0.0540
296.00,0.0479
298.00,0.0420
300.00,0.0427
302.00,0.0428
304.00,0.0426
306.00,0.0424
308.00,0.0425
310.00,0.0423
312.00,0.0422
314.00,0.0419
316.00,0.0419
318.00,0.0419
320.00,0.0422
322.00,0.0421
324.00,0.0422
326.00,0.0416
328.00,0.0414
330.00,0.0413
332.00,0.0420
334.00,0.0420
336.00,0.0423
338.00,0.0422
340.00,0.0430
342.00,0.0428
344.00,0.0427
346.00,0.0424
348.00,0.0426
350.00,0.0428
352.00,0.0428
354.00,0.0428
356.00,0.0429
358.00,0.0430
360.00,0.0433
362.00,0.0444
364.00,0.0482
366.00,0.0593
368.00,0.0828
370.00,0.1189
372.00,0.1750
374.00,0.4149
376.00,1.2434
378.00,2.7741
380.00,4.7635
382.00,6.3443
384.00,6.9153
386.00,6.4442
388.00,5.5069
390.00,4.8429
392.00,4.4851
394.00,4.1631
396.00,3.7605
398.00,3.6000
400.00,3.9661
402.00,4.5519
404.00,4.7493
406.00,4.1580
408.00,2.9246
410.00,1.5611
412.00,0.6118
414.00,0.1645
416.00,0.0712
418.00,0.0594
420.00,0.0527
422.00,0.0497
424.00,0.0504
426.00,0.0562
428.00,0.0692
430.00,0.0967
432.00,0.1568
434.00,0.3186
436.00,0.8511
438.00,2.0993
440.00,4.1777
442.00,6.7913
444.00,9.0382
446.00,10.1555
448.00,9.8655
450.00,8.8342
452.00,7.9945
454.00,8.0782
456.00,8.9442
458.00,10.0028
460.00,10.3683
462.00,9.6495
464.00,7.9928
466.00,5.9053
468.00,4.1314
470.00,2.8459
472.00,2.1429
474.00,1.8443
476.00,1.9410
478.00,2.2987
480.00,2.6845
482.00,2.8203
484.00,2.5296
486.00,1.8411
488.00,1.1057
490.00,0.5803
492.00,0.3590
494.00,0.3107
496.00,0.3938
498.00,0.5999
500.00,0.9372
502.00,1.3900
504.00,1.9236
506.00,2.4372
508.00,2.7525
510.00,2.6813
512.00,2.1909
514.00,1.4173
516.00,0.7182
518.00,0.3026
520.00,0.2145
522.00,0.3024
524.00,0.4640
526.00,0.6350
528.00,0.7349
530.00,0.8634
532.00,1.6369
534.00,4.1576
536.00,9.0283
538.00,15.2803
540.00,20.5990
542.00,22.7861
544.00,21.5191
546.00,18.3515
548.00,15.6164
550.00,14.6953
