"holder - RawData"
"Wavelength nm.","T%"
190.00,57.3779
192.00,57.3371
194.00,57.2557
196.00,57.1034
198.00,56.9523
200.00,56.7807
202.00,56.6185
204.00,56.4628
206.00,56.3065
208.00,56.1683
210.00,56.0265
212.00,55.8841
214.00,55.7502
216.00,55.6033
218.00,55.5317
220.00,55.4504
222.00,55.3833
224.00,55.2913
226.00,55.2081
228.00,55.1514
230.00,55.1072
232.00,55.0610
234.00,55.0264
236.00,54.9790
238.00,54.9424
240.00,54.8990
242.00,54.8649
244.00,54.8347
246.00,54.8188
248.00,54.7969
250.00,54.7876
252.00,54.7696
254.00,54.7787
256.00,54.7857
258.00,54.7982
260.00,54.7921
262.00,54.7677
264.00,54.7516
266.00,54.7470
268.00,54.7638
270.00,54.7674
272.00,54.7680
274.00,54.7693
276.00,54.7830
278.00,54.7860
280.00,54.7883
282.00,54.7705
284.00,54.7634
286.00,54.7494
288.00,54.7385
290.00,54.7289
292.00,54.7433
294.00,52.6036
296.00,50.4718
298.00,48.3278
300.00,48.3709
302.00,48.3877
304.00,48.3921
306.00,48.3703
308.00,48.3297
310.00,48.2755
312.00,48.2454
314.00,48.2625
316.00,48.3058
318.00,48.3307
320.00,48.3588
322.00,48.3842
324.00,48.4105
326.00,48.4143
328.00,48.4160
330.00,48.4163
332.00,48.4050
334.00,48.4235
336.00,48.4503
338.00,48.4873
340.00,48.4944
342.00,48.4862
344.00,48.4805
346.00,48.4599
348.00,48.4464
350.00,48.4244
352.00,48.4107
354.00,48.4029
356.00,48.3963
358.00,48.4002
360.00,48.4330
362.00,48.4747
364.00,48.5187
366.00,48.5647
368.00,48.6158
370.00,48.6487
372.00,48.6554
374.00,48.6476
376.00,48.6454
378.00,48.6282
380.00,48.6094
382.00,48.6046
384.00,48.6113
386.00,48.6178
388.00,48.6274
390.00,48.6357
392.00,48.6477
394.00,48.6573
396.00,48.6586
398.00,48.6653
400.00,48.6587
402.00,48.6566
404.00,48.6544
406.00,48.6515
408.00,48.6251
410.00,48.5885
412.00,48.5361
414.00,48.4982
416.00,48.4787
418.00,48.4845
420.00,48.5414
422.00,48.5981
424.00,48.6642
426.00,48.6796
428.00,48.6994
430.00,48.7142
432.00,48.7297
434.00,48.7372
436.00,48.7471
438.00,48.7664
440.00,48.7895
442.00,48.7940
444.00,48.8116
446.00,48.8359
448.00,48.8684
450.00,48.8870
452.00,48.9093
454.00,48.9510
456.00,49.0096
458.00,49.0678
460.00,49.1390
462.00,49.1960
464.00,49.2045
466.00,49.1010
468.00,48.8707
470.00,48.5380
472.00,48.1411
474.00,47.7636
476.00,47.5066
478.00,47.4256
480.00,47.4851
482.00,47.6185
484.00,47.7724
486.00,47.9284
488.00,48.0493
490.00,48.1552
492.00,48.2415
494.00,48.3222
496.00,48.3855
498.00,48.4365
500.00,48.4779
502.00,48.5134
504.00,48.5460
506.00,48.5649
508.00,48.5899
510.00,48.6189
512.00,48.6542
514.00,48.6826
516.00,48.7006
518.00,48.7100
520.00,48.7075
522.00,48.7101
524.00,48.7156
526.00,48.7324
528.00,48.7589
530.00,48.7720
532.00,48.7715
534.00,48.7621
536.00,48.7691
538.00,48.7735
540.00,48.7794
542.00,48.7852
544.00,48.7709
546.00,48.7714
548.00,48.7627
550.00,48.7683
552.00,48.7471
554.00,48.7299
556.00,48.7055
558.00,48.6752
560.00,48.6302
562.00,48.5928
564.00,48.5539
566.00,48.5201
568.00,48.4846
570.00,48.4480
572.00,48.4287
574.00,48.4311
576.00,48.4559
578.00,48.5005
580.00,48.5511
582.00,48.6206
584.00,48.6822
586.00,48.7436
588.00,48.7936
590.00,48.8479
592.00,48.8953
594.00,48.9391
596.00,48.9679
598.00,48.9931
600.00,49.0098
602.00,49.0164
