"justHolder - RawData"
"Wavelength nm.","T%"
190.00, 
192.00, 
194.00, 
196.00, 
198.00, 
200.00, 
202.00, 
204.00, 
206.00, 
208.00, 
210.00, 
212.00, 
214.00, 
216.00, 
218.00, 
220.00, 
222.00, 
224.00, 
226.00, 
228.00, 
230.00, 
232.00, 
234.00, 
236.00, 
238.00, 
240.00, 
242.00, 
244.00, 
246.00, 
248.00, 
250.00, 
252.00, 
254.00, 
256.00, 
258.00, 
260.00, 
262.00, 
264.00, 
266.00, 
268.00, 
270.00, 
272.00, 
274.00, 
276.00, 
278.00, 
280.00, 
282.00, 
284.00, 
286.00, 
288.00, 
290.00, 
292.00, 
294.00, 
296.00, 
298.00, 
300.00,48.5769
302.00,48.6045
304.00,48.6208
306.00,48.5837
308.00,48.5371
310.00,48.5089
312.00,48.5162
314.00,48.5258
316.00,48.5336
318.00,48.5301
320.00,48.5393
322.00,48.5580
324.00,48.5852
326.00,48.6086
328.00,48.6114
330.00,48.5985
332.00,48.5917
334.00,48.6214
336.00,48.6587
338.00,48.6732
340.00,48.6691
342.00,48.6631
344.00,48.6800
346.00,48.6816
348.00,48.6714
350.00,48.6570
352.00,48.6383
354.00,48.6312
356.00,48.6221
358.00,48.6244
360.00,48.6539
362.00,48.6962
364.00,48.7398
366.00,48.7905
368.00,48.8355
370.00,48.8705
372.00,48.8657
374.00,48.8631
376.00,48.8594
378.00,48.8512
380.00,48.8354
382.00,48.8247
384.00,48.8216
386.00,48.8361
388.00,48.8529
390.00,48.8808
392.00,48.8903
394.00,48.9015
396.00,48.8921
398.00,48.8817
400.00,48.8712
402.00,48.8768
404.00,48.8856
406.00,48.8830
408.00,48.8670
410.00,48.8385
412.00,48.7965
414.00,48.7537
416.00,48.7216
418.00,48.7212
420.00,48.7649
422.00,48.8212
424.00,48.8868
426.00,48.9180
428.00,48.9426
430.00,48.9539
432.00,48.9705
434.00,48.9823
436.00,48.9914
438.00,48.9996
440.00,49.0084
442.00,49.0045
444.00,49.0216
446.00,49.0462
448.00,49.0866
450.00,49.1102
452.00,49.1476
454.00,49.1984
456.00,49.2498
458.00,49.2955
460.00,49.3530
462.00,49.4217
464.00,49.4341
466.00,49.3394
468.00,49.1195
470.00,48.7955
472.00,48.4275
474.00,48.0472
476.00,47.7856
478.00,47.6736
480.00,47.7268
482.00,47.8701
484.00,48.0356
486.00,48.1949
488.00,48.3140
490.00,48.4166
492.00,48.5007
494.00,48.5782
496.00,48.6466
498.00,48.7028
500.00,48.7421
502.00,48.7809
504.00,48.8064
506.00,48.8400
508.00,48.8557
510.00,48.8753
512.00,48.8949
514.00,48.9266
516.00,48.9515
518.00,48.9686
520.00,48.9762
522.00,48.9865
524.00,48.9968
526.00,49.0089
528.00,49.0278
530.00,49.0323
532.00,49.0216
534.00,49.0159
536.00,49.0247
538.00,49.0375
540.00,49.0400
542.00,49.0407
544.00,49.0422
546.00,49.0478
548.00,49.0481
550.00,49.0405
552.00,49.0215
554.00,49.0030
556.00,48.9710
558.00,48.9249
560.00,48.8723
562.00,48.8395
564.00,48.8127
566.00,48.7764
568.00,48.7380
570.00,48.7050
572.00,48.6972
574.00,48.7029
576.00,48.7181
578.00,48.7502
580.00,48.7838
582.00,48.8428
584.00,48.9007
586.00,48.9658
588.00,49.0217
590.00,49.0732
592.00,49.1200
594.00,49.1633
596.00,49.1983
598.00,49.2206
600.00,49.2469
602.00,49.2648
604.00,49.2703
606.00,49.2675
608.00,49.2686
610.00,49.2723
612.00,49.2678
614.00,49.2684
616.00,49.2692
618.00,49.2677
620.00,49.2672
622.00,49.2628
624.00,49.2795
626.00,49.2773
628.00,49.2784
630.00,49.2765
632.00,49.2722
634.00,49.2822
636.00,49.2710
638.00,49.2808
640.00,49.2804
642.00,49.2896
644.00,49.2976
646.00,49.3003
648.00,49.3129
650.00,49.3454
652.00,49.3989
654.00,49.4841
656.00,49.5390
658.00,49.5028
660.00,49.3196
662.00,49.0020
664.00,48.6203
666.00,48.1513
668.00,47.6818
670.00,47.3539
672.00,47.2893
674.00,47.4485
676.00,47.6909
678.00,47.9261
680.00,48.1226
682.00,48.2737
684.00,48.3934
686.00,48.4915
688.00,48.5711
690.00,48.6335
692.00,48.6752
694.00,48.7235
696.00,48.7558
698.00,48.7909
700.00,48.8006
702.00,48.8088
704.00,48.8222
706.00,48.8379
708.00,48.8621
710.00,48.8745
712.00,48.8912
714.00,48.9125
716.00,48.9284
718.00,48.9366
720.00,49.2270
722.00,49.5206
724.00,49.8054
726.00,49.7846
728.00,49.7649
730.00,49.7559
732.00,49.7550
734.00,49.7519
736.00,49.7616
738.00,49.7703
740.00,49.7980
742.00,49.8201
744.00,49.8611
746.00,49.8948
748.00,49.9357
750.00,49.9789
752.00,50.0271
754.00,50.0717
756.00,50.1143
758.00,50.1530
760.00,50.1857
762.00,50.2181
764.00,50.2509
766.00,50.2843
768.00,50.3203
770.00,50.3499
772.00,50.3858
774.00,50.4101
776.00,50.4357
778.00,50.4507
780.00,50.4664
782.00,50.4819
784.00,50.4975
786.00,50.5103
788.00,50.5239
790.00,50.5441
792.00,50.5737
794.00,50.5936
796.00,50.6125
798.00,50.6252
800.00,50.6536
802.00,50.6738
804.00,50.6890
806.00,50.6899
808.00,50.6963
810.00,50.7033
812.00,50.7072
814.00,50.7195
816.00,50.7421
818.00,50.7402
820.00,50.7353
822.00,50.7164
824.00,50.7378
826.00,50.7570
828.00,50.7916
830.00,51.1435
832.00,51.3404
834.00,51.6802
836.00,51.7008
838.00,51.7223
840.00,51.7456
842.00,51.7609
844.00,51.7727
846.00,51.7764
848.00,51.7835
850.00,51.7893
852.00,51.8047
854.00,51.8200
856.00,51.8377
858.00,51.8445
860.00,51.8628
862.00,51.8866
864.00,51.9080
866.00,51.9238
868.00,51.9461
870.00,51.9742
872.00,52.0043
874.00,52.0211
876.00,52.0540
878.00,52.0885
880.00,52.1150
882.00,52.1300
884.00,52.1393
886.00,52.1555
888.00,52.1698
890.00,52.1818
892.00,52.1909
894.00,52.2079
896.00,52.2122
898.00,52.2279
900.00,52.2177
902.00,52.2129
904.00,52.2035
906.00,52.2135
908.00,52.2270
910.00,52.2500
912.00,52.2674
914.00,52.2844
916.00,52.2926
918.00,52.3042
920.00,52.3184
922.00,52.3416
924.00,52.3604
926.00,52.3757
928.00,52.3819
930.00,52.3999
932.00,52.4168
934.00,52.4290
936.00,52.4351
938.00,52.4398
940.00,52.4476
942.00,52.4525
944.00,52.4657
946.00,52.4782
948.00,52.4966
950.00,52.5187
952.00,52.5418
954.00,52.5696
956.00,52.5909
958.00,52.6072
960.00,52.6240
962.00,52.6373
964.00,52.6509
966.00,52.6553
968.00,52.6586
970.00,52.6664
972.00,52.6697
974.00,52.6756
976.00,52.6759
978.00,52.6811
980.00,52.6887
982.00,52.6983
984.00,52.7092
986.00,52.7129
988.00,52.7161
990.00,52.7125
992.00,52.7146
994.00,52.7061
996.00,52.7101
998.00,52.7167
1000.00,52.7389
1002.00,52.7481
1004.00,52.7534
1006.00,52.7550
1008.00,52.7605
1010.00,52.7689
1012.00,52.7790
1014.00,52.7934
1016.00,52.8064
1018.00,52.8176
1020.00,52.8248
1022.00,52.8328
1024.00,52.8358
1026.00,52.8426
1028.00,52.8551
1030.00,52.8692
1032.00,52.8857
1034.00,52.8955
1036.00,52.9062
1038.00,52.9128
1040.00,52.9239
1042.00,52.9377
1044.00,52.9458
1046.00,52.9531
1048.00,52.9590
1050.00,52.9649
1052.00,52.9739
1054.00,52.9690
1056.00,52.9639
1058.00,52.9531
1060.00,52.9521
1062.00,52.9616
1064.00,52.9602
1066.00,52.9589
1068.00,52.9479
1070.00,52.9503
1072.00,52.9632
1074.00,52.9825
1076.00,52.9974
